dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-5,60,0.024902886150700704,0.015938563640766137,0.016673213823763307
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Gram,ses-5,60,0.030625115338968476,0.018625809673019092,0.020495476074132983
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-5,60,0.018637394495089433,0.019137287941825808,0.012654217486977544
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-7,60,0.018785255596996994,0.019109094684584823,0.012600562736136795
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Gram,ses-7,60,0.02605349209215934,0.021526020113916113,0.017656884255843736
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-7,60,0.013467198553593953,0.021841218519447952,0.008676100960356165
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-9,60,-0.0033242108823656764,0.018877220642249466,-0.0020535717137263546
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Gram,ses-9,60,-0.0015080514505433889,0.020854575584415887,-0.0004822540105329386
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-9,60,-0.011004747587414855,0.021289884287225287,-0.007367947035095955
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-5,72,-0.026199419225686395,-0.03401200887734952,-0.01743122356666636
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-5,72,-0.03737668796937573,-0.032484714657308636,-0.025094861405878188
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-5,72,-0.011494350804002382,-0.016358126459431317,-0.007832688673900327
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-7,72,-0.021122117924598824,-0.034406000480226115,-0.014240082810408875
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-7,72,-0.029735401100905078,-0.032440127545353845,-0.01997801114143001
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-7,72,-0.010113559390138282,-0.01542071321678494,-0.006906584101259
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-9,72,-0.02427603732480367,-0.03398114774380109,-0.016188454930496216
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-9,72,-0.038717444393818926,-0.031979075066041585,-0.026057103656949306
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-9,72,-0.011014679732067606,-0.015370682471479219,-0.0074608993381904826
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Plaus,ses-5,60,0.013529003009672512,0.017767021403151444,0.009003139441671219
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Plaus,ses-5,60,-0.009311106400877716,0.001101912445353551,-0.005872001481893118
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Plaus,ses-5,60,-0.013789191979285598,-0.009648012404512862,-0.00913088884843491
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Plaus,ses-7,60,0.011502814464240115,0.01746049317753396,0.007522523817280024
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Plaus,ses-7,60,-0.007022627620886426,0.0013174225527824565,-0.004623889777811844
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Plaus,ses-7,60,-0.014285845750024747,-0.008922417733343072,-0.009673823827180603
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Plaus,ses-9,60,0.017125771326942485,0.01723958588807183,0.011191486779533267
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Plaus,ses-9,60,-0.0013149428215998848,0.0012232817790040224,-0.0007377528240603233
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Plaus,ses-9,60,-0.002761786004007627,-0.008524820312232916,-0.0019041049078128342
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-5,72,-0.01137988987025551,-0.0022978950150296822,-0.00764526274848482
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-5,72,0.004026315098937449,0.0019314156757267546,0.0023654866795904802
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-5,72,-0.0005835108151871139,0.005837537660841972,-0.00039200193550955654
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-7,72,-0.017074422469802557,-0.0027673666419050762,-0.011041592017860587
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-7,72,-0.005079596570535442,0.0015976680044374417,-0.003818956356097008
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-7,72,-0.002475734828555499,0.00694166764355769,-0.0018846718055670398
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-9,72,-0.009010319517783865,-0.0022514575179334215,-0.005905141656636929
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-9,72,-0.004442187165993696,0.0020510719903230404,-0.0032860787250137045
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-9,72,-0.004866596428115914,0.007279243976750869,-0.0032187033923479994
