positive,negative
syrup pancakes,flush cliff
trash garbage,sailing nest
above below,chill hawk
yell scream,adult pond
mitten glove,cobra slipper
spoon fork,trade square
touch feel,blanket split
table chair,flow teaching
itch scratch,bacon wipe
tall short,bone mountain
sketch draw,corn blame
washer dryer,dessert bony
summer winter,turtle boom
silver gold,map hut
dog cat,towel puppet
bunny rabbit,rich pointed
mom dad,trust dozen
start finish,plug belly
fingers hands,spell dim
ship boat,hearing bottle
winner loser,hoof stitch
awake asleep,pirate bandage
question answer,jewel moan
web spider,system head
