positive,negative
train track,harp corn
key lock,skunk scoop
plate cup,cane bounce
king queen,wave boot
shoe sock,pour crab
break fix,bomb nail
leaf tree,hat fire
shirt tie,safe drip
light bulb,priest float
girl boy,sweat book
truck car,hatch deer
mop broom,pants rope
pole fish,heel chain
horse cow,tow fold
sword knife,ride chair
moon sun,top bone
dive swim,ghost shave
tire wheel,cloud blimp
cheese mouse,type tank
dog cat,hoof church
walk run,cut lamp
fork spoon,pinch bowl
nest bird,glove crib
fly bug,doll witch
