claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.30000000000000004,0.37008312228206786,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.41818181818181827,0.20057021703405067,11
R2_partial_control_step,"partial(rsa,norm|step)",-0.48181818181818187,0.1334338382568288,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.48181818181818187,0.1334338382568288,11
R2_partial_control_step,"partial(rsa,gini|step)",-0.5363636363636364,0.08895341813596276,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.3454545454545455,0.2980892209030388,11
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.28181818181818186,0.4011448979604785,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.02727272727272728,0.9365584481926122,11
R2_partial_control_step,"partial(rsa,per|step)",0.14545454545454548,0.6695786456420787,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",-0.1272727272727273,0.7092146257733047,11
R2_partial_control_step,"partial(rsa,condition_number|step)",-0.24545454545454545,0.4669223669820163,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.2121212121212121,0.5563057751029299,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",0.17575757575757575,0.6271883447764844,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.08181818181818183,0.8109903943000458,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.3727272727272728,0.25892587368422215,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",0.5090909090909091,0.10973723224165641,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.6181818181818182,0.042645569805326695,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.21818181818181823,0.519248247554982,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.07878787878787878,0.8287173946974606,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.24545454545454545,0.4669223669820163,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.5090909090909091,0.10973723224165641,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",-0.3090909090909091,0.3550284397015071,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.5727272727272729,0.06554305260101842,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.13636363636363638,0.6893090205863619,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.2545454545454546,0.4500365768888285,11
