claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.2581988897471611,0.7418011102528389,4
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-1.0,0.0,4
R2_partial_control_step,"partial(rsa,norm|step)",-1.0,0.0,4
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",1.0,0.0,4
R2_partial_control_step,"partial(rsa,gini|step)",1.0,0.0,4
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",1.0,0.0,4
R2_partial_control_step,"partial(rsa,hoyer|step)",1.0,0.0,4
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-1.0,0.0,4
R2_partial_control_step,"partial(rsa,per|step)",-1.0,0.0,4
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",1.0,0.0,4
R2_partial_control_step,"partial(rsa,condition_number|step)",1.0,0.0,4
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-1.0,0.0,4
R5_isolation_vs_mechanistic,"spearman(iso,gini)",1.0,0.0,4
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",1.0,0.0,4
R5_isolation_vs_mechanistic,"spearman(iso,per)",-1.0,0.0,4
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",-1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",-1.0,0.0,4
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,4
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-1.0,0.0,4
