claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.39090909090909093,0.23454006709519432,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.14545454545454548,0.6695786456420787,11
R2_partial_control_step,"partial(rsa,norm|step)",-0.38181818181818183,0.24655957577897006,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.5636363636363637,0.07095173447637536,11
R2_partial_control_step,"partial(rsa,gini|step)",0.45454545454545453,0.16014543725525882,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",0.6181818181818182,0.042645569805326695,11
R2_partial_control_step,"partial(rsa,hoyer|step)",0.45454545454545453,0.16014543725525882,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",0.7727272727272727,0.005299487178643863,11
R2_partial_control_step,"partial(rsa,per|step)",0.7272727272727273,0.011204967253592057,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",-0.7545454545454545,0.00728204100842914,11
R2_partial_control_step,"partial(rsa,condition_number|step)",-0.6727272727272727,0.023313039833185972,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.33333333333333326,0.34659350708733405,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",0.3696969696969697,0.2930500752928223,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.5727272727272729,0.06554305260101842,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.28181818181818186,0.4011448979604785,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.05454545454545456,0.8734465775233149,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.27272727272727276,0.41714143714253127,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.3545454545454546,0.2846927409558867,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.709090909090909,0.021665923367532435,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.3090909090909091,0.3550284397015071,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.5363636363636364,0.08895341813596276,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",-0.41818181818181827,0.20057021703405067,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.17272727272727276,0.6115423848512369,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.13636363636363638,0.6893090205863619,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.3272727272727273,0.32589494101284167,11
