claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.5512542775696283,0.07878928423361271,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.6529680365296804,0.029386340806290816,11
R2_partial_control_step,"partial(rsa,norm|step)",0.4727272727272727,0.14199852020631992,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.5068493150684932,0.11157345094204645,11
R2_partial_control_step,"partial(rsa,gini|step)",-0.19090909090909092,0.5739131682855215,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",0.6164383561643836,0.04340271107232614,11
R2_partial_control_step,"partial(rsa,hoyer|step)",0.23636363636363636,0.4840911622253965,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.5525114155251142,0.0779683996790618,11
R2_partial_control_step,"partial(rsa,per|step)",0.20000000000000004,0.5554454421055854,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.5525114155251142,0.0779683996790618,11
R2_partial_control_step,"partial(rsa,condition_number|step)",-0.20000000000000004,0.5554454421055854,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.8545454545454544,0.0016368033159867143,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.6848484848484848,0.02888279750673276,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.44292237442922383,0.1724643824025105,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.31506849315068497,0.3453056783529781,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.4155251141552512,0.20374142338369397,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.33333333333333337,0.3164774052319921,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.33333333333333337,0.3164774052319921,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.7575757575757575,0.011143446799694208,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.8459971305713095,0.0010296188061706673,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.8551927515557802,0.0007914201381523045,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.8092146466334263,0.0025516125327461094,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.8551927515557802,0.0007914201381523045,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.8551927515557802,0.0007914201381523045,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.450585428239067,0.16427932377091728,11
