claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.8246035061165515,0.0017894598527492035,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.8082191780821917,0.0026080695284828345,11
R2_partial_control_step,"partial(rsa,norm|step)",-0.22727272727272727,0.501535667604937,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.8538812785388127,0.0008225551857995721,11
R2_partial_control_step,"partial(rsa,gini|step)",-0.4000000000000001,0.22286835013352002,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.6986301369863014,0.016775102668839848,11
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.17272727272727276,0.6115423848512369,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",0.7990867579908677,0.003170372869476582,11
R2_partial_control_step,"partial(rsa,per|step)",0.10909090909090911,0.7495085962341482,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",-0.8264840182648403,0.0017096443116008271,11
R2_partial_control_step,"partial(rsa,condition_number|step)",-0.1272727272727273,0.7092146257733047,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.4666666666666666,0.17393859716506632,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",0.32121212121212117,0.3654683104386702,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.21461187214611874,0.5262754511308996,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.17808219178082194,0.6003667871088051,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",0.32420091324200917,0.3307246403286173,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",-0.24200913242009137,0.47339634527476404,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",0.07762557077625572,0.8205362078998507,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",-0.5393939393939393,0.1075931877824148,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.9287577194315464,3.6293961312755025e-05,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.8092146466334263,0.0025516125327461094,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.8092146466334263,0.0025516125327461094,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.7172584367887189,0.01297025236964243,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.7724321626955434,0.005328064965394562,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.7632365417110727,0.006276707881479146,11
