claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.2833333333333333,0.46003032896571994,9
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.2833333333333333,0.46003032896571994,9
R2_partial_control_step,"partial(rsa,norm|step)",0.027386127875258303,0.9442442957529926,9
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.31666666666666665,0.4063970144863861,9
R2_partial_control_step,"partial(rsa,gini|step)",-0.39999999999999997,0.2861051019083129,9
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.33333333333333337,0.38071318167686347,9
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.049999999999999996,0.8983528043506301,9
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.31666666666666665,0.4063970144863861,9
R2_partial_control_step,"partial(rsa,per|step)",-0.35,0.35581957250178897,9
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.2833333333333333,0.46003032896571994,9
R2_partial_control_step,"partial(rsa,condition_number|step)",0.027386127875258303,0.9442442957529926,9
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.023809523809523815,0.9553740118158807,8
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.060616080621109,0.8866229447346792,8
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.33333333333333337,0.38071318167686347,9
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.26666666666666666,0.4879222748387009,9
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.13333333333333333,0.7323675052362975,9
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.38333333333333336,0.30849527238037144,9
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.33333333333333337,0.38071318167686347,9
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.04761904761904763,0.9108491685195836,8
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.23732222626728364,0.5386514414257368,9
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.37293492699144576,0.3228985625390918,9
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.6272087408492496,0.0706052062157914,9
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",0.23732222626728364,0.5386514414257368,9
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",-0.23732222626728364,0.5386514414257368,9
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,9
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.0,1.0,9
