claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.23636363636363636,0.4840911622253965,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.09090909090909091,0.7903727377532903,11
R2_partial_control_step,"partial(rsa,norm|step)",0.08181818181818183,0.8109903943000458,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.045454545454545456,0.8944269969053026,11
R2_partial_control_step,"partial(rsa,gini|step)",-0.16363636363636366,0.6306852146425357,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.10000000000000002,0.7698749998921366,11
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.15454545454545454,0.65003396549758,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.3727272727272728,0.25892587368422215,11
R2_partial_control_step,"partial(rsa,per|step)",-0.26363636363636367,0.4334407376116145,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.4000000000000001,0.22286835013352002,11
R2_partial_control_step,"partial(rsa,condition_number|step)",0.33636363636363636,0.31182431390038623,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.5757575757575757,0.08155281477260236,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.8181818181818182,0.0038149200825507135,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.0,1.0,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.09090909090909091,0.7903727377532903,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",0.10909090909090911,0.7495085962341482,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.0,1.0,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.05454545454545456,0.8734465775233149,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.709090909090909,0.021665923367532435,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.5636363636363637,0.07095173447637536,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.19090909090909092,0.5739131682855215,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",-0.15454545454545454,0.65003396549758,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.21818181818181823,0.519248247554982,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.20000000000000004,0.5554454421055854,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.36363636363636365,0.2716375409938228,11
