claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.23234684426488467,0.4917654140586254,11
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.004566210045662101,0.9893691652069592,11
R2_partial_control_step,"partial(rsa,norm|step)",0.4727272727272727,0.14199852020631992,11
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.013698630136986304,0.9681137011643257,11
R2_partial_control_step,"partial(rsa,gini|step)",0.018181818181818184,0.9576852410216187,11
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",0.08675799086757992,0.799773009072667,11
R2_partial_control_step,"partial(rsa,hoyer|step)",0.3727272727272728,0.25892587368422215,11
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.0958904109589041,0.7791255154435206,11
R2_partial_control_step,"partial(rsa,per|step)",-0.6545454545454547,0.028864598957001886,11
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",-0.10502283105022833,0.7586053698537993,11
R2_partial_control_step,"partial(rsa,condition_number|step)",0.26363636363636367,0.4334407376116145,11
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.35757575757575755,0.3103760917056799,10
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.3696969696969697,0.2930500752928223,10
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.589041095890411,0.05654857743175688,11
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.6073059360730594,0.047520939881546084,11
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.6621004566210046,0.02645585924006704,11
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.7351598173515982,0.009942676974030604,11
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.6986301369863014,0.016775102668839848,11
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.32121212121212117,0.3654683104386702,10
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.8157028486556083,0.0022056251024702876,11
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.8986556807222803,0.0001695396494479161,11
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.9216981340741337,5.495066906057281e-05,11
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.8295283206667203,0.0015861168109465,11
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.8295283206667203,0.0015861168109465,11
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,11
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.09677830407778404,0.777124684361404,11
