dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-11,96,0.0619596303600323,0.028020670538473104,0.04127905858086761
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-11,96,0.028959840756257432,0.016137335652034623,0.019244755890603895
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-11,96,0.04045421964002632,0.023877656251181115,0.026647887540742623
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-11,96,0.03419493118252907,0.009193759815442041,0.022746216275499012
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-11,96,0.05756913778078888,0.022137393999380847,0.038215906073584924
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-11,96,0.05529746969374161,0.021734486779875002,0.03687231348826112
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-11,96,0.05266646961884761,0.023772135572294815,0.035119466795965566
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-11,96,0.05496931949308562,0.02607446522650483,0.036631224914666576
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-11,96,0.05583261704719804,0.02629763822321904,0.03725520755167146
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-11+,96,0.03758023486990042,0.021101539133276483,0.0250112559310098
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-11+,96,0.018566417963528106,0.01610368728366838,0.012250685938359828
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-11+,96,0.03665379807253995,0.020081767041280837,0.024336284888575907
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-11+,96,0.03546217554232613,0.006557259791997094,0.02359666439623956
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-11+,96,0.06744293203935146,0.020138329978794292,0.045122237486675675
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-11+,96,0.062251513073807004,0.021011335567799036,0.041687927869685185
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-11+,96,0.06399927474138355,0.021690408132375494,0.04271000488719055
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-11+,96,0.062457584460942704,0.02222007611688022,0.04178201590838249
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-11+,96,0.06310235335301732,0.022478607703504898,0.042192039651662606
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-9,96,0.046199219896064125,0.024140338875332703,0.03064711020807118
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-9,96,0.033927876326900315,0.027826588786172335,0.02255630851641057
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-9,96,0.04615498145923607,0.029657804609213217,0.030597468666181796
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-9,96,0.03643317020680006,0.01467160189644544,0.024409977565101614
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-9,96,0.060509823998696616,0.029604466662060278,0.04022215552040883
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-9,96,0.05978058655150762,0.02896997787112511,0.03994489404032125
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-9,96,0.05943523583994844,0.02798594113095581,0.039547376887052024
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-9,96,0.05913409825378424,0.02897217246444126,0.03922624613738778
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-9,96,0.05819135127517899,0.028828624657305565,0.038740413217733964
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-11,48,0.02825145432842624,0.015520808281290505,0.018803451075157167
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-11,48,0.01579413705571491,-0.0011573371046505348,0.010468387169854066
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-11,48,0.007654752221418143,0.004899492830909511,0.0045561240222268375
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-11,48,0.013641115453645106,0.014767206747073776,0.009008413726267565
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-11,48,0.015442844462679435,0.025053120137099344,0.010515584587211389
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-11,48,0.006331017251412709,0.011563768879446485,0.0044837546489456094
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Sem,ses-11,48,0.011771688041007191,0.015379431383386875,0.007907140654596715
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-11,48,0.010523176306424933,0.0156424803299193,0.007561026260643019
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-11,48,0.009020525918522359,0.014077940729578641,0.006506950606329488
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-11+,48,0.00393020293752378,-0.0039024315892722903,0.002709131756310295
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-11+,48,0.009487483537549189,-0.01502726661544969,0.006406262782633868
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-11+,48,-0.0017025600865763677,-0.01081424406275204,-0.001626737651582372
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-11+,48,0.0042836442880899595,-0.00425530712611827,0.002391335812770992
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-11+,48,0.005926800007912779,0.005176363703484897,0.003703424015304549
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-11+,48,0.0012225092601834515,-0.00768504222483116,0.0008810184573366812
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Sem,ses-11+,48,0.005155646882116872,-0.0031699442475578814,0.0032723542701076735
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-11+,48,0.006085983644594101,-0.004112241674553453,0.003964583058015066
