dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-11,96,0.059630675539292556,0.03179794359620901,0.03976095096262262
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-11,96,0.03408165771034685,0.012958374407127389,0.02267329323528167
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-11,96,0.03951108134666575,0.00977516133125262,0.026372742560503034
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-11,96,0.05156681314333928,0.01649340954001354,0.0342407345408927
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-11,96,0.05855471613365755,0.022359993056549003,0.03901209483458592
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-11,96,0.050959233074309884,0.017601651924982843,0.03388054474857906
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-11,96,0.04971822641948105,0.019600713719251213,0.03303933226353887
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-11,96,0.05389274185569775,0.023051932170689567,0.035740370887737
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-11,96,0.054828284567664066,0.023430077651187903,0.03631567402823796
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-11+,96,0.049904076249618935,0.026625964318991203,0.033166707072572854
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-11+,96,0.04424164087581396,0.015384571691299021,0.029239830218230376
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-11+,96,0.0505222976247845,0.009502525032638447,0.033559991226146085
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-11+,96,0.05240299012969783,0.01438368089105764,0.034748309686257764
