dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,10,5242880,Phon,ses-11,96,0.0068823421649082854,0.016238469128589686,0.004663226392368286
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,20,10485760,Phon,ses-11,96,0.004002139767804709,0.012109613322967117,0.002800129298899805
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,30,15728640,Phon,ses-11,96,0.003213106970791197,-0.0007043810692382198,0.0022783158818300412
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,50,26214400,Phon,ses-11,96,0.018674878719825476,0.0002781828390592579,0.012408268972497047
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-70,70,36700160,Phon,ses-11,96,-0.020571159397355133,-0.005186420352547954,-0.013646421383575191
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-100,100,52428800,Phon,ses-11,96,-0.04348533766012371,-0.026295892719546365,-0.029113225045504745
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-300,300,157286400,Phon,ses-11,96,-0.016086980218742976,-0.019210929952434605,-0.010554407514728914
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-640,640,335544320,Phon,ses-11,96,-0.013255008630806352,-0.013096809171636867,-0.0087863605053432
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1100,1100,576716800,Phon,ses-11,96,0.0006298307170596612,-0.006307772873434472,0.0005333579616952009
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1850,1850,969932800,Phon,ses-11,96,0.03533566849358938,0.01652838475466093,0.02356722580744469
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-4000,4000,2097152000,Phon,ses-11,96,0.028964704095008436,0.018143237786933004,0.019467180783720655
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,10,5242880,Phon,ses-11+,96,-0.0037582798032170742,0.01401077307962877,-0.0026379284469124115
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,20,10485760,Phon,ses-11+,96,8.406838135747043e-05,0.008963215374917115,5.676067774173314e-05
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,30,15728640,Phon,ses-11+,96,-0.010523625057580664,-0.007027779831946218,-0.00694846900097359
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,50,26214400,Phon,ses-11+,96,0.001131484843256964,-0.01782996376057391,0.0007386584469508933
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-70,70,36700160,Phon,ses-11+,96,-0.03951347340364848,-0.011140558059237637,-0.026300781565671144
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-100,100,52428800,Phon,ses-11+,96,-0.04693275016230262,-0.02431011230925088,-0.030895317917518077
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-300,300,157286400,Phon,ses-11+,96,-0.030572924338272012,-0.01903897601464521,-0.020441925168261738
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-640,640,335544320,Phon,ses-11+,96,-0.016130054835878253,-0.0021662441088732987,-0.010721226184566484
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1100,1100,576716800,Phon,ses-11+,96,0.0020257195495594587,0.0011736869497913924,0.0014138218984618817
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1850,1850,969932800,Phon,ses-11+,96,0.036148162078248475,0.02382050810761309,0.023993219504123326
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-4000,4000,2097152000,Phon,ses-11+,96,0.04472353474588123,0.02332623268446938,0.030051988932629885
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,10,5242880,Phon,ses-9,96,0.0008914680401102484,0.01088826395674002,0.0007702135355937552
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,20,10485760,Phon,ses-9,96,-0.002292461682432581,0.00812677037095072,-0.0015027148920777485
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,30,15728640,Phon,ses-9,96,-0.009652716355542625,0.0014283676631644815,-0.0063225622731978
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,50,26214400,Phon,ses-9,96,0.007480631039641726,0.004584425879492379,0.004937986554453693
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-70,70,36700160,Phon,ses-9,96,-0.010931518801581807,0.0010944999785018868,-0.007073919719236674
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-100,100,52428800,Phon,ses-9,96,-0.02877642689843867,-0.011829729280874321,-0.018937671003567264
ds002236,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-300,300,157286400,Phon,ses-9,96,-0.016356338288224387,-0.012241926515169699,-0.010955580440462858
