family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Gram,0.4983515441417694,0.012891904695183384,0.41240838136133334,0.9691535845138565,4.301949501037598,2.67764949798584,0.6128919427077271,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Gram,0.5174206495285034,0.0,0.40972970842641615,0.9694783700389774,3.692373275756836,2.627168893814087,0.5730950984367033,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Gram,0.5280876159667969,0.005484497287775977,0.41142768849044337,0.9693713785526709,3.4255893230438232,2.7606186866760254,0.5847515171364349,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Gram,0.5430119037628174,0.0055248618784530384,0.41931355979891766,0.9681204156434331,3.518423318862915,2.750455379486084,0.5726466142056323,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Gram,0.5195900201797485,0.01107041107041107,0.41297161322904763,0.9690353586623097,4.101823806762695,2.7859489917755127,0.7037036428206288,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Gram,0.5426586270332336,0.0018214936247723133,0.41694059550014473,0.968476333899837,4.294602870941162,2.8809714317321777,0.6149825723759225,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Gram,0.5472627282142639,0.0,0.41598025908490677,0.968654672644938,4.215471267700195,2.8067195415496826,0.6696836944155512,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Gram,0.5219300389289856,0.007407407407407408,0.4144823266019967,0.9689394245125559,4.2141828536987305,2.7994790077209473,0.6978816000705484,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,Gram,0.52401202917099,0.0055248618784530384,0.41571254077348524,0.968747510838531,4.299792766571045,2.790278911590576,0.6875669987511627,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Phon,0.6160091757774353,0.00546448087431694,0.410148953988659,0.969548365898232,5.183035373687744,3.414184808731079,0.3965753389242553,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Phon,0.5441011190414429,0.0,0.41092859726274444,0.9694413142616661,4.08184289932251,2.957223892211914,0.4574785723859685,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Phon,0.5507612824440002,0.0018214936247723133,0.41297882442761796,0.9691385941188178,3.3661296367645264,2.761350631713867,0.49212397323176177,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Phon,0.5426631569862366,0.0,0.42060259987589826,0.968039882850334,3.9138498306274414,2.9931564331054688,0.5310631085042342,12,92
