family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,Gram,0.5542659163475037,0.00547945205479452,0.414967405557764,0.9708843217622533,4.469814300537109,2.898642063140869,0.4927136818890691,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,Gram,0.5895171165466309,0.008315672620849732,0.4135962220715601,0.9711492524360829,3.900352716445923,2.951686143875122,0.5238696034128124,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,Gram,0.6069019436836243,0.010111518479990091,0.4156639237210109,0.9707905862633197,3.9843413829803467,2.8828797340393066,0.5103509798828116,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,Gram,0.5246371626853943,0.0036630036630036634,0.42236513817036986,0.969855990614081,3.491063117980957,2.6594269275665283,0.43731184078135604,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,Gram,0.5784528851509094,0.0027297588382146384,0.42644478564681243,0.9693200754615066,3.7911713123321533,2.5918984413146973,0.3872365902129634,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,Gram,0.621242105960846,0.0045712688764459886,0.42410117459292374,0.9696109534554944,5.525042533874512,3.4624805450439453,0.4739101404722857,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,Gram,0.6561251878738403,0.0009082652134423251,0.39190376453789155,0.9741115419188621,4.335310459136963,3.5884392261505127,0.6465865599654939,23,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,Gram,0.6430329084396362,0.0009082652134423251,0.4075470247571138,0.9720111968136449,4.400477886199951,3.541888952255249,0.5912509393376171,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1100,1100,Gram,0.5775089859962463,0.020172910662824207,0.4261785164475273,0.9694341990039564,5.740533828735352,4.104431629180908,0.7049844197167439,21,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1850,1850,Gram,0.5998558402061462,0.005499633441174189,0.41972633008412835,0.970323940791163,4.808520793914795,3.8297078609466553,0.7062868170955678,22,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-4000,4000,Gram,0.5730462074279785,0.007371792452592832,0.41496795190203717,0.971004902684513,5.125307559967041,3.7034547328948975,0.6363345877578229,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,Phon,0.5702871680259705,0.00273972602739726,0.4207584842868893,0.9702335774162001,4.187678813934326,2.850774049758911,0.5025709771378913,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,Phon,0.5600967407226562,0.007407407407407408,0.4294146789605721,0.9689032020451276,3.874788522720337,2.76401948928833,0.47421170674411883,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,Phon,0.5184775590896606,0.008280057666035156,0.42665044208880254,0.9693883329056225,3.6284067630767822,2.6169016361236572,0.39009556142852886,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,Phon,0.5627187490463257,0.0009082652134423251,0.41586113269466324,0.9707836149577738,4.104103088378906,2.593122959136963,0.38163409974356527,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,Phon,0.5186493992805481,0.0018165304268846503,0.4389085990822287,0.9675225104842955,4.292015075683594,2.492856025695801,0.3109199757032524,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,Phon,0.5290942192077637,0.0045712688764459886,0.42490190679292156,0.9696166148869143,4.5346245765686035,2.4133594036102295,0.3237290849522807,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,Phon,0.4179965853691101,0.0009082652134423251,0.38912496151442255,0.9742956563971656,3.6792380809783936,2.317016839981079,0.38111838259495834,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,Phon,0.46132147312164307,0.006433127091895363,0.3970388067646586,0.9733033169497741,3.7560112476348877,2.531348466873169,0.4437268538927729,24,184
parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1100,1100,Phon,0.46769148111343384,0.0018214936247723133,0.4085350051322001,0.9718994019760557,3.561786413192749,2.4048633575439453,0.32527745686177634,24,184
