family,step,layer,per,gini,hoyer,norm,condition_number
babylm-gpt2-7,191,0,0.05727550881265049,0.22450840895478766,0.08506630728654695,20.424842351507447,182.28001608055112
babylm-gpt2-7,191,1,0.05639228980217024,0.23497139180776738,0.08929103272589296,32.089895046397935,229.49066847020467
babylm-gpt2-7,191,2,0.053576838352547035,0.2557092462481128,0.10385787329573887,42.44989646365186,276.26760147444594
babylm-gpt2-7,191,3,0.04973617677899595,0.26428137907275256,0.10830962502694785,52.79852501000098,324.9169533790028
babylm-gpt2-7,191,4,0.04515678475174368,0.2717228873268323,0.115280007887644,63.46707722115878,373.32959525427816
babylm-gpt2-7,191,5,0.04359259773295532,0.27281283327864553,0.11747037545828676,73.26262157319822,407.447069786326
babylm-gpt2-7,191,6,0.04248673094763122,0.273963104806566,0.11753375227645498,81.90465131541656,433.55262221513067
babylm-gpt2-7,191,7,0.03993106187087279,0.2772980628503799,0.11899852760268802,90.32403814589755,471.6683826806365
babylm-gpt2-7,191,8,0.0380956004835216,0.27890489077293035,0.12033134619952625,98.62362999332987,510.40328476463185
babylm-gpt2-7,191,9,0.036974690797066806,0.2811731116621812,0.12053260691402394,106.13332782689837,535.3118693823708
babylm-gpt2-7,191,10,0.03397041667092044,0.28378042411254983,0.12132197314134018,116.29355439911477,588.0942534920312
babylm-gpt2-7,191,11,0.03177498075140889,0.28632334666865766,0.12205526510293162,125.78275859777514,639.8088036378795
babylm-gpt2-7,382,0,0.06618911861478205,0.24589946328080567,0.1064115397799495,27.339268568657044,176.75608816133717
babylm-gpt2-7,382,1,0.05822044844535124,0.30911543534693947,0.1517966078216137,45.34722400287238,207.32897477588946
babylm-gpt2-7,382,2,0.05650265669631074,0.35900972184182756,0.18794680550216053,64.81422317737551,219.52847934351232
babylm-gpt2-7,382,3,0.0529161258536642,0.36705748191796433,0.19053768977706131,79.3915446491867,238.68222343327147
babylm-gpt2-7,382,4,0.05214750700101198,0.36489693520784683,0.188409968222732,87.3229742243209,255.45543741617772
babylm-gpt2-7,382,5,0.052164172365305975,0.36002896329576534,0.1837780442086776,92.78081608768571,270.56333073730144
babylm-gpt2-7,382,6,0.05485679544890229,0.34235200904214325,0.1714699764343902,91.60302056081665,274.4064336999782
