dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-10,10,5242880,Gram,ses-5,60,-0.003623176954516287,-0.0012193235919033367,-0.0017840204654549637
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-20,20,10485760,Gram,ses-5,60,-0.000900195103315827,-0.00733413209794978,-0.000610003417296631
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-30,30,15728640,Gram,ses-5,60,-0.0012131537389469692,-0.00844080961953302,-0.0006329983105140955
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-50,50,26214400,Gram,ses-5,60,0.023092251465950148,0.014706560098151245,0.015520914174754801
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-70,70,36700160,Gram,ses-5,60,0.008796309473284131,-0.004364748356287924,0.00590904880985459
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-100,100,52428800,Gram,ses-5,60,0.0001508204014064171,-0.01651163082413738,4.4073545333473856e-05
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-300,300,157286400,Gram,ses-5,60,0.006162493966910736,-0.003145201757313092,0.0042891863320909706
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-640,640,335544320,Gram,ses-5,60,0.03339474700318314,0.03362271866993834,0.02250497424252586
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.028297292482787957,0.028209039764575998,0.01879896395231115
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.024889289603167733,0.01783845667885319,0.01628230063906641
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.011473872839744504,0.008461727671648652,0.007551906180835673
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-10,10,5242880,Gram,ses-7,60,-0.00750300362136567,0.0013857569914786268,-0.004806571429483924
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-20,20,10485760,Gram,ses-7,60,-0.006894324945940984,-0.00666433258031171,-0.004501250347318699
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-30,30,15728640,Gram,ses-7,60,-0.006305163581068558,-0.007667632840472589,-0.004166546901597825
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-50,50,26214400,Gram,ses-7,60,0.0109948774850278,0.015697242729128154,0.0072887424029024666
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-70,70,36700160,Gram,ses-7,60,0.008590658175312918,-0.0038758729629838574,0.005673989901409396
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-100,100,52428800,Gram,ses-7,60,-0.010373454886569268,-0.018268115498281067,-0.0067164250606011255
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-300,300,157286400,Gram,ses-7,60,0.00906035256531584,-0.0016605109695822544,0.0063612817097980605
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-640,640,335544320,Gram,ses-7,60,0.03354486517958964,0.03613444791591529,0.022290355239162857
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1100,1100,576716800,Gram,ses-7,60,0.02617292011464056,0.031041925230906674,0.017271081047417387
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.02126763720184848,0.019484256241970015,0.014189765356277126
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.010147810193300091,0.009708036556569051,0.006823734562282626
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-10,10,5242880,Gram,ses-9,60,-0.021746879255024325,0.0017461773536445475,-0.014210205261359318
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-20,20,10485760,Gram,ses-9,60,-0.017768909881869795,-0.006506391273170526,-0.011687154477776393
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-30,30,15728640,Gram,ses-9,60,-0.017783880583100594,-0.007593884175340217,-0.011592619916771262
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-50,50,26214400,Gram,ses-9,60,-0.004327938187710164,0.015478249783383777,-0.00276130342719721
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-70,70,36700160,Gram,ses-9,60,-0.006137164094417755,-0.0035688593821650346,-0.004041352482969407
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-100,100,52428800,Gram,ses-9,60,-0.013050953332382499,-0.018114385224796484,-0.00835033997310875
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-300,300,157286400,Gram,ses-9,60,-0.01506029929792486,-0.0023425208150778453,-0.009859060466987956
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-640,640,335544320,Gram,ses-9,60,0.0007542491604989392,0.03496057210977169,0.0006457732511904648
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1100,1100,576716800,Gram,ses-9,60,0.0008645515040136568,0.030131083399413054,0.0003736670147838001
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-1850,1850,969932800,Gram,ses-9,60,-0.004448833416816778,0.018603410867011255,-0.0031164467780002746
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-4000,4000,2097152000,Gram,ses-9,60,-0.011717201917294981,0.009064046627380348,-0.00788916461469182
ds003604,parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-10,10,5242880,Phon,ses-5,72,0.007062674879778885,0.0007285273096349597,0.004599285208970719
