dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-5,60,0.016370644655696355,0.01578836767826361,0.011026690044808104
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-5,60,0.016370644655696355,0.01578836767826361,0.011026690044808104
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-5,60,0.016341681390985026,0.015778331965597348,0.01104074247955211
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-5,60,0.011605564372470723,0.012831730605655199,0.008223868060412694
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-5,60,0.025958301111277556,0.021099744177244837,0.01705901703218966
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-5,60,0.018563534274836726,0.01824117316588756,0.012635055075962992
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-5,60,0.02350958735403357,0.02040425236361463,0.015665271004397772
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-5,60,0.04091587105917674,0.028477379364329737,0.02708606796907187
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-5,60,0.03398959974478829,0.02679877103473689,0.022117893540031876
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-5,60,0.038405398290307195,0.02778515109604036,0.02539211083538531
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-5,60,0.033238145418148776,0.028892967828913818,0.022295465215433404
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-7,60,0.020071288172414048,0.019110122989279315,0.013326179366554567
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-7,60,0.020071288172414048,0.019110122989279315,0.013326179366554567
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-7,60,0.020095181134583636,0.01909997000167873,0.013401551516545145
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-7,60,0.010019237015658228,0.01593258066773421,0.006877389313123378
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-7,60,0.024469646868089216,0.024452530221688577,0.015916937335722248
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-7,60,0.018082972168502343,0.020323014133095157,0.011978423125197613
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-7,60,0.023683198148618956,0.022820791838004544,0.015570736443392642
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-7,60,0.028967901127542346,0.030779297400696112,0.018846231232813714
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-7,60,0.029152154580215767,0.028633419737715327,0.01981073925387959
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-7,60,0.02876643288326861,0.028651548748656098,0.019132389903964382
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-7,60,0.022910759304801798,0.030427255581109744,0.01515171838920773
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-9,60,-0.0029319798085318074,0.01853608898421615,-0.001225755557897628
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-9,60,-0.0029319798085318074,0.01853608898421615,-0.001225755557897628
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-9,60,-0.0029566734586828044,0.018525225897046287,-0.0012065931468830742
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-9,60,-0.007291234634412172,0.015509690493286484,-0.004064347376186872
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-9,60,0.003950303439375242,0.024172509036320337,0.0024738672619789024
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-9,60,-0.007815326034654827,0.01955891224733734,-0.005031410385388023
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-9,60,-0.010350810564846364,0.02188426168241229,-0.006641052910610547
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-9,60,-0.0023483972912703953,0.029820085669825584,-0.0014007722451638866
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-9,60,0.0013628066507156277,0.02765854913678364,0.0007441402943985079
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-9,60,4.381386274490848e-05,0.02745592581000856,-0.0002816874419139416
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-9,60,-0.0039667348551667165,0.02931009202610458,-0.0027523609687237515
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-5,72,-0.026303718166552133,-0.03356989244368016,-0.017602111910427556
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-5,72,-0.026303718166552133,-0.03356989244368016,-0.017602111910427556
