family,model_ref,step,tokens,phenomenon,mp_accuracy
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,0,Gram,0.4
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,2097152,Gram,0.4
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,8388608,Gram,0.4
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,33554432,Gram,0.4
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,536870912,Gram,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,10485760000,Gram,0.7
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,29360128000,Gram,0.75
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,58720256000,Gram,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,51000,106954752000,Gram,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,86000,180355072000,Gram,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,143000,299892736000,Gram,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,0,Phon,0.3333333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,2097152,Phon,0.3333333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,8388608,Phon,0.2916666666666667
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,33554432,Phon,0.2916666666666667
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,536870912,Phon,0.5833333333333334
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,10485760000,Phon,0.4166666666666667
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,29360128000,Phon,0.4166666666666667
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,58720256000,Phon,0.4583333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,51000,106954752000,Phon,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,86000,180355072000,Phon,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,143000,299892736000,Phon,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,0,Plaus,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,2097152,Plaus,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,8388608,Plaus,0.5
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,33554432,Plaus,0.6
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,536870912,Plaus,0.65
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,10485760000,Plaus,0.95
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,29360128000,Plaus,0.9
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,58720256000,Plaus,0.85
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,51000,106954752000,Plaus,0.9
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,86000,180355072000,Plaus,0.9
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,143000,299892736000,Plaus,0.9
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,0,Sem,0.4583333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,2097152,Sem,0.4583333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,8388608,Sem,0.4583333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,33554432,Sem,0.3333333333333333
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,536870912,Sem,0.4166666666666667
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,10485760000,Sem,0.6666666666666666
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,29360128000,Sem,0.625
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,58720256000,Sem,0.625
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,51000,106954752000,Sem,0.7916666666666666
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,86000,180355072000,Sem,0.7916666666666666
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,143000,299892736000,Sem,0.7083333333333334
