family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step0,0,0,7.050870258152162,0.12613857748986412,0.02975177260331037,0.23364952623256663,34.65803622647078,
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step1,1,2097152,7.050870258152162,0.12613857748986412,0.02975177260331037,0.23364952623256663,34.65803622647078,1.0
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step4,4,8388608,7.0585969384689085,0.12558940132750115,0.029219893256281295,0.233690640980863,34.58036075628891,0.9999427514981933
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step16,16,33554432,9.878624133356388,0.2432764532423941,0.09610562535266708,0.24675496327168153,34.093203269803276,0.993132786529768
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step256,256,536870912,8.655435244067112,0.12416073702582282,0.02712519654278962,0.13067571719091955,70.92325036752051,0.6940828797814719
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step5000,5000,10485760000,65.8788954280966,0.4169025438306139,0.4631141710003301,0.05512027253565691,212.80080896523728,0.4239086704124347
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step14000,14000,29360128000,177.18294270778907,0.44551409526525587,0.6923900551964381,0.04993693792798968,374.83075598199116,0.8447990470844157
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step28000,28000,58720256000,265.36335200003873,0.4467243118908497,0.7716868300726412,0.04614594639438723,500.72184034208425,0.9218537898438864
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step51000,51000,106954752000,303.69632914663043,0.4593255441850735,0.7969043573468513,0.041743590724269586,610.7232208743379,0.9713194488334298
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step86000,86000,180355072000,256.8827121790645,0.4736941651363398,0.7916468302663638,0.03828892429059435,746.479168132271,0.9811634987847535
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step143000,143000,299892736000,205.3221311073828,0.48977209460756727,0.7726896121395552,0.03724162998036571,968.7103391012009,0.9928145043587834
