family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,8.507227195050083,0.12216147904842987,0.027638227956117634,0.2509444586500073,35.00611991712094,
pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,8.507227195050083,0.12216147904842987,0.027638227956117634,0.2509444586500073,35.00611991712094,1.0
pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,8.510838513458642,0.12254683702100179,0.02781880554636787,0.25116150528906556,35.01230766860553,0.9999889683131796
pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,10.31901344876585,0.19024491619475858,0.06432006480789397,0.256625735929157,35.343158165028704,0.9967251606588929
pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,9.713822972281429,0.12621990330997238,0.02757619784718919,0.1600900273928792,63.74418179803188,0.7655034975068543
pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,49.64301162312099,0.32207927298660505,0.40218034254006246,0.06081258109120119,134.62932823248568,0.5212640537571266
pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,127.82074719065719,0.4029482417540575,0.6702468248438049,0.04696855393480046,304.466268073627,0.7104029835795841
pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,148.13511351292414,0.4062898889835261,0.7196120145950612,0.04114828620315921,423.8480824976862,0.7875609034011027
pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,145.66091751637072,0.42608598452399743,0.7325493498834761,0.04047593401825012,447.7449292202967,0.7793072523517108
pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,108.97076204336145,0.4374079588951226,0.7126536204224996,0.03923720927840226,489.411397662453,0.8871043211656303
pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,74.3394162280258,0.4066631464524346,0.6475528481573468,0.03658825452908429,553.831036783892,0.9371559803570394
