dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-10,10,5242880,Orth,ses-11,96,-0.0027664609165238027,0.0024149314797147613,-0.0018475119582241413
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-20,20,10485760,Orth,ses-11,96,-0.007110794174283104,-0.004058494722468881,-0.00445042195310606
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-30,30,15728640,Orth,ses-11,96,0.012439671180084138,-0.007720547428129734,0.00839211430638452
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-50,50,26214400,Orth,ses-11,96,-0.028655993581182572,-0.0030476753529659617,-0.01914393353420841
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-70,70,36700160,Orth,ses-11,96,-0.01728224012844682,-0.006995700189061932,-0.011564555169454675
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-100,100,52428800,Orth,ses-11,96,-0.018501336953691733,-0.003973196252075982,-0.012286666435775775
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-300,300,157286400,Orth,ses-11,96,-0.05746896867029533,-0.024546493395532748,-0.03808083490146731
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-640,640,335544320,Orth,ses-11,96,-0.04292848043740465,-0.02988351167476007,-0.02875399729857656
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1100,1100,576716800,Orth,ses-11,96,-0.034649564639174735,-0.016093174834975757,-0.023357115095261734
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1850,1850,969932800,Orth,ses-11,96,-0.0077459716784654955,-0.003027846344711614,-0.0050842174530425655
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-4000,4000,2097152000,Orth,ses-11,96,-0.01654290835519041,-0.007276180387623399,-0.010996371164806071
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-10,10,5242880,Orth,ses-11+,96,0.01664700263616804,0.005147278424552156,0.011202248877293037
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-20,20,10485760,Orth,ses-11+,96,0.017742751279523954,-0.0004502798880919386,0.011817188287674658
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-30,30,15728640,Orth,ses-11+,96,0.03782587929051983,-0.004855719842499237,0.025091490516156594
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-50,50,26214400,Orth,ses-11+,96,-0.009634701069608769,-0.002989478707486018,-0.006340456317367228
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-70,70,36700160,Orth,ses-11+,96,0.0065502190817168515,-0.008902262010764914,0.004244736649696186
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-100,100,52428800,Orth,ses-11+,96,-0.00926456451688254,-0.003971949147219708,-0.006192493737084541
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-300,300,157286400,Orth,ses-11+,96,-0.03165517173666863,-0.023585837887745237,-0.021042818716015748
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-640,640,335544320,Orth,ses-11+,96,-0.02505666654030356,-0.02637995133393206,-0.016901020922563043
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1100,1100,576716800,Orth,ses-11+,96,-0.018291905600372502,-0.016427826586595716,-0.012483116103485297
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1850,1850,969932800,Orth,ses-11+,96,0.008476750718485911,0.0005249611824539833,0.0058144099006014706
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-4000,4000,2097152000,Orth,ses-11+,96,0.0015659011724055844,-0.0017245633682322035,0.0010640221963111331
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-10,10,5242880,Phon,ses-11,96,-0.0027664609165238027,0.0024149314797147613,-0.0018475119582241413
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-20,20,10485760,Phon,ses-11,96,-0.007110794174283104,-0.004058494722468881,-0.00445042195310606
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-30,30,15728640,Phon,ses-11,96,0.012439671180084138,-0.007720547428129734,0.00839211430638452
ds006239,parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-50,50,26214400,Phon,ses-11,96,-0.028655993581182572,-0.0030476753529659617,-0.01914393353420841
