dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step0,0,0,Orth,ses-11,96,-0.003531993566613305,0.007370860661899088,-0.002430511461808722
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step1,1,2097152,Orth,ses-11,96,-0.003531993566613305,0.007370860661899088,-0.002430511461808722
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step4,4,8388608,Orth,ses-11,96,-0.0034641323489679895,0.0074238661071613764,-0.00239260687362187
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step16,16,33554432,Orth,ses-11,96,0.010871945433025354,0.011660762891240413,0.0072776809318756425
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step256,256,536870912,Orth,ses-11,96,-0.019428296052473704,-0.01015582007517416,-0.012823102942704424
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step5000,5000,10485760000,Orth,ses-11,96,-0.023599509865360115,-0.01259074811279682,-0.015646898558086375
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step14000,14000,29360128000,Orth,ses-11,96,-0.007279464755121594,-0.006992776869145748,-0.0048290830168204015
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step28000,28000,58720256000,Orth,ses-11,96,-0.019827857019592273,-0.012065748345419746,-0.013072080288459688
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step51000,51000,106954752000,Orth,ses-11,96,0.016629184526297837,0.0005604071607962962,0.011100079657357915
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step86000,86000,180355072000,Orth,ses-11,96,-0.03985346239433942,-0.019392779122651405,-0.026568807410058376
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step143000,143000,299892736000,Orth,ses-11,96,-0.027662604373181337,-0.015492976334220447,-0.01833446854688817
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step0,0,0,Orth,ses-11+,96,0.006583382627560177,0.0058186195625709244,0.004244351831542005
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step1,1,2097152,Orth,ses-11+,96,0.006583382627560177,0.0058186195625709244,0.004244351831542005
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step4,4,8388608,Orth,ses-11+,96,0.006586449613905854,0.005847446329373292,0.004233769332302021
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step16,16,33554432,Orth,ses-11+,96,0.013899439994920907,0.009148559174664464,0.009276618833770102
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step256,256,536870912,Orth,ses-11+,96,-0.01589482252636851,-0.010864011937529672,-0.010505535609147897
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step5000,5000,10485760000,Orth,ses-11+,96,-0.007901449307599548,-0.013473861032384444,-0.005099225361055633
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step14000,14000,29360128000,Orth,ses-11+,96,-0.007757011766229751,-0.010928653422136066,-0.005188695581902772
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step28000,28000,58720256000,Orth,ses-11+,96,-0.021848539467412675,-0.014454363644883401,-0.014528039774804415
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step51000,51000,106954752000,Orth,ses-11+,96,0.017890720778265014,0.0006990933986821294,0.011928400734233038
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step86000,86000,180355072000,Orth,ses-11+,96,-0.03622539219628928,-0.017865430662360286,-0.024160038173960893
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step143000,143000,299892736000,Orth,ses-11+,96,-0.012660332203801354,-0.008994563501042451,-0.008053089512550843
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step0,0,0,Phon,ses-11,96,-0.003531993566613305,0.007370860661899088,-0.002430511461808722
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step1,1,2097152,Phon,ses-11,96,-0.003531993566613305,0.007370860661899088,-0.002430511461808722
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step4,4,8388608,Phon,ses-11,96,-0.0034641323489679895,0.0074238661071613764,-0.00239260687362187
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step16,16,33554432,Phon,ses-11,96,0.010871945433025354,0.011660762891240413,0.0072776809318756425
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step256,256,536870912,Phon,ses-11,96,-0.019428296052473704,-0.01015582007517416,-0.012823102942704424
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step5000,5000,10485760000,Phon,ses-11,96,-0.023599509865360115,-0.01259074811279682,-0.015646898558086375
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step14000,14000,29360128000,Phon,ses-11,96,-0.007279464755121594,-0.006992776869145748,-0.0048290830168204015
ds006239,polypythia-70m-seed3,EleutherAI/pythia-70m-seed3@step28000,28000,58720256000,Phon,ses-11,96,-0.019827857019592273,-0.012065748345419746,-0.013072080288459688
