dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Orth,ses-11,96,0.009255506314328045,-0.003021531010250671,0.006267148458995702
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Orth,ses-11,96,0.009255506314328045,-0.003021531010250671,0.006267148458995702
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Orth,ses-11,96,0.012775052857169627,-0.0012862359555484977,0.008647825969837953
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Orth,ses-11,96,0.007215172196425501,0.0020887151462208146,0.0050580498185582405
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Orth,ses-11,96,-0.03182203963724353,0.004303972722495877,-0.02139030950924141
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Orth,ses-11,96,-0.051212419542642613,-0.0210308488717353,-0.034429872663672784
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Orth,ses-11,96,-0.050592318793571255,-0.025690121093776618,-0.033702181534116055
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Orth,ses-11,96,-0.03573799030527059,-0.014931337392355682,-0.02388008296679404
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Orth,ses-11,96,-0.03951341784505289,-0.01843088335307759,-0.026331567018005642
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Orth,ses-11,96,-0.024122366872815555,-0.008504490267201346,-0.016111374070183135
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Orth,ses-11,96,-0.030204889646948316,-0.007186930801574347,-0.020047101742071787
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Orth,ses-11+,96,0.005867087042659517,-0.006860139284075649,0.0038926280386203504
ds006239,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Orth,ses-11+,96,0.005867087042659517,-0.006860139284075649,0.0038926280386203504
