dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Orth,ses-11,96,-0.007849085014854306,0.008559024963323529,-0.005382836340687209
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step1,1,2097152,Orth,ses-11,96,-0.007849085014854306,0.008559024963323529,-0.005382836340687209
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step4,4,8388608,Orth,ses-11,96,-0.00832325383554713,0.00844703895776336,-0.005696270727267829
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step16,16,33554432,Orth,ses-11,96,-0.03125368925210818,0.0006391550654547273,-0.02101241808183543
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step256,256,536870912,Orth,ses-11,96,-0.025769285512992932,0.0014165468318770072,-0.01727198562319376
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,10485760000,Orth,ses-11,96,-0.014499267045442311,-0.007531795694651246,-0.00942169527789643
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,29360128000,Orth,ses-11,96,-0.026801765698234958,-0.01588368131839222,-0.017422257112401536
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,58720256000,Orth,ses-11,96,-0.0067908043796504275,-0.01194507351673014,-0.004331897961618238
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,106954752000,Orth,ses-11,96,-0.023796386621317056,-0.016228214595660026,-0.015608801560822434
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,180355072000,Orth,ses-11,96,-0.006638844153813621,0.0031840198240053325,-0.0044080919561461235
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Orth,ses-11,96,0.01157045049751786,0.022682287332502125,0.007764283487837822
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Orth,ses-11+,96,0.007781222025408676,0.007858049898701014,0.005152907493563916
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step1,1,2097152,Orth,ses-11+,96,0.007781222025408676,0.007858049898701014,0.005152907493563916
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step4,4,8388608,Orth,ses-11+,96,0.007387212235234912,0.007707273914414682,0.004891423557797763
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step16,16,33554432,Orth,ses-11+,96,-0.012769500541210328,-0.0016704073693017563,-0.008549120113290464
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step256,256,536870912,Orth,ses-11+,96,-0.005473515773063777,0.0030465898709188394,-0.003735045004483132
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,10485760000,Orth,ses-11+,96,-0.0046345592116821,-0.007243362518004015,-0.003030442964177278
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,29360128000,Orth,ses-11+,96,-0.022724798500174073,-0.01813551234016786,-0.015045812601255275
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,58720256000,Orth,ses-11+,96,-0.020936843415889164,-0.019160733258816,-0.013854415595910151
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,106954752000,Orth,ses-11+,96,-0.014107424926397077,-0.014301773684476639,-0.009287586151164267
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,180355072000,Orth,ses-11+,96,0.006582373460723482,0.003726426778935329,0.004170081927785025
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Orth,ses-11+,96,0.022782888239080843,0.022969485358231713,0.015050622828182543
ds006239,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-11,96,-0.007849085014854306,0.008559024963323529,-0.005382836340687209
