family,model_ref,step,tokens,phenomenon,mp_accuracy
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Gram,0.55
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Gram,0.6
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Gram,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Gram,0.7
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Gram,0.55
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Gram,0.8
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Gram,0.6
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Gram,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Gram,0.8
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Gram,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Gram,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Phon,0.4166666666666667
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Phon,0.4166666666666667
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Phon,0.4166666666666667
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Phon,0.5833333333333334
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Phon,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Phon,0.4583333333333333
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Plaus,0.45
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Plaus,0.65
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Plaus,0.65
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Plaus,0.65
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Plaus,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Plaus,0.7
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Plaus,0.65
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Plaus,0.75
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Plaus,0.8
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Plaus,0.8
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Plaus,0.95
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Sem,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Sem,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Sem,0.625
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Sem,0.5
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Sem,0.5833333333333334
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Sem,0.5416666666666666
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Sem,0.625
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Sem,0.7916666666666666
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Sem,0.8333333333333334
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Sem,0.7916666666666666
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Sem,0.7083333333333334
