family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
pythia-70m-full,EleutherAI/pythia-70m@step0,0,Gram,0.5813586115837097,0.005649717514124294,0.4197819633193886,0.9636274096941038,3.6831934452056885,2.7779746055603027,0.4332591635213857,6,30
pythia-70m-full,EleutherAI/pythia-70m@step1,1,Gram,0.5813586115837097,0.005649717514124294,0.4197819633193886,0.9636274096941038,3.6831934452056885,2.7779746055603027,0.4332591635213857,6,30
pythia-70m-full,EleutherAI/pythia-70m@step4,4,Gram,0.5815371870994568,0.005649717514124294,0.4197206935184418,0.9636260265436358,3.6792898178100586,2.777811288833618,0.43294998883527624,6,30
pythia-70m-full,EleutherAI/pythia-70m@step16,16,Gram,0.5437555909156799,0.011494252873563218,0.4131610425419429,0.9647709867860499,3.445971965789795,2.7989096641540527,0.3803172703610353,6,30
pythia-70m-full,EleutherAI/pythia-70m@step256,256,Gram,0.5583726167678833,0.005649717514124294,0.4158776695499004,0.9643729896513048,3.7006618976593018,3.0512382984161377,0.6134999511622633,6,30
pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,Gram,0.5384947657585144,0.0,0.4170177679849299,0.9641180985530976,3.785304069519043,2.90641188621521,0.479241704425119,6,30
pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,Gram,0.497732549905777,0.005649717514124294,0.41353698617623186,0.9647993524861272,4.192000865936279,2.9523696899414062,0.4940937409530857,6,30
pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,Gram,0.5542871952056885,0.0,0.4170561291787966,0.964074546853902,3.2640275955200195,2.770287036895752,0.4996615701607118,6,30
pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,Gram,0.5977670550346375,0.005649717514124294,0.41690296832188806,0.9642260275686899,3.8037025928497314,2.9841864109039307,0.6876875446414386,6,30
pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,Gram,0.5791805982589722,0.011494252873563218,0.42016910358609993,0.9633297230954946,6.051657199859619,3.524684190750122,0.8476024306598455,6,30
pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,Gram,0.5926035046577454,0.011494252873563218,0.4165875546612738,0.9642714239374082,4.971436500549316,3.788727283477783,0.8637238347492102,6,30
pythia-70m-full,EleutherAI/pythia-70m@step0,0,Phon,0.5092440247535706,0.01694915254237288,0.421521942415748,0.9635443319402679,3.577861785888672,2.7537007331848145,0.529515295259459,6,30
pythia-70m-full,EleutherAI/pythia-70m@step1,1,Phon,0.5092440247535706,0.01694915254237288,0.421521942415748,0.9635443319402679,3.577861785888672,2.7537007331848145,0.529515295259459,6,30
pythia-70m-full,EleutherAI/pythia-70m@step4,4,Phon,0.5084903240203857,0.01694915254237288,0.4215631685089976,0.9635241795832854,3.5722663402557373,2.7569148540496826,0.5296305999698063,6,30
pythia-70m-full,EleutherAI/pythia-70m@step16,16,Phon,0.5117747187614441,0.011494252873563218,0.4211123918589015,0.9635080647560372,4.002673149108887,2.8860740661621094,0.5998588586129391,6,30
pythia-70m-full,EleutherAI/pythia-70m@step256,256,Phon,0.5456132292747498,0.0,0.4124702108510799,0.9648651158285108,4.967903137207031,2.9109089374542236,0.5340828523004973,6,30
pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,Phon,0.570680558681488,0.005649717514124294,0.416606186191074,0.9641555768761048,4.135385513305664,3.074467897415161,0.37831348874524157,6,30
pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,Phon,0.6242026090621948,0.0,0.41860323994617005,0.963863898502346,3.8195130825042725,3.210845470428467,0.4762664868831883,6,30
pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,Phon,0.5899313688278198,0.0,0.40207553387172107,0.9666202480053193,4.785950660705566,3.113948345184326,0.479449781192823,6,30
pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,Phon,0.5351799130439758,0.0,0.42698325001276016,0.9623895635099676,4.026108741760254,2.741698980331421,0.43014596552968765,6,30
pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,Phon,0.5196822285652161,0.005649717514124294,0.4227320326015125,0.9631944265443951,3.8457553386688232,2.7861976623535156,0.45829316028469724,6,30
pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,Phon,0.5249800086021423,0.005649717514124294,0.4067154148294066,0.9659432645083309,3.499788761138916,2.658568859100342,0.27123324672336296,5,30
pythia-70m-full,EleutherAI/pythia-70m@step0,0,Plaus,0.5791543126106262,0.0231935771632471,0.4212152059972695,0.9635434972512805,4.037575721740723,2.9281158447265625,0.3289147548853071,6,30
pythia-70m-full,EleutherAI/pythia-70m@step1,1,Plaus,0.5791543126106262,0.0231935771632471,0.4212152059972695,0.9635434972512805,4.037575721740723,2.9281158447265625,0.3289147548853071,6,30
pythia-70m-full,EleutherAI/pythia-70m@step4,4,Plaus,0.5789763927459717,0.0231935771632471,0.4211940775144622,0.963550549850963,4.032826900482178,2.930828094482422,0.32927194637009405,6,30
pythia-70m-full,EleutherAI/pythia-70m@step16,16,Plaus,0.6009664535522461,0.005649717514124294,0.4159376078858188,0.9644751607971349,3.7099692821502686,2.911726236343384,0.35856940293031536,6,30
pythia-70m-full,EleutherAI/pythia-70m@step256,256,Plaus,0.5157528519630432,0.005649717514124294,0.4306857907287542,0.9618548073278403,3.7825400829315186,2.564777135848999,0.31703847774213123,6,30
pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,Plaus,0.6289427280426025,0.0,0.42201417097522537,0.9633096963678824,3.651665449142456,3.0153591632843018,0.5554803234767778,6,30
pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,Plaus,0.5774230360984802,0.005649717514124294,0.4196310171433524,0.9636843587536512,4.013615131378174,3.027148962020874,0.4412462597513187,6,30
pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,Plaus,0.520287036895752,0.0,0.42244717413924887,0.9632385119916911,4.369647026062012,2.944066047668457,0.46475731547154575,6,30
pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,Plaus,0.5476078987121582,0.011299435028248588,0.4208693754142394,0.9635075263383386,3.609144449234009,2.8069257736206055,0.5785210753512997,6,30
pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,Plaus,0.5300499796867371,0.0,0.42317196398087087,0.9632545605590425,3.7236804962158203,2.822862148284912,0.539305467458437,6,30
pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,Plaus,0.5874786376953125,0.0,0.4251807478079925,0.9626858233094788,4.44739294052124,3.118389368057251,0.6104713218314997,6,30
pythia-70m-full,EleutherAI/pythia-70m@step0,0,Sem,0.5229294300079346,0.0231935771632471,0.42158675695928954,0.9632676756836893,3.993751287460327,2.726806640625,0.5371422116886506,6,30
pythia-70m-full,EleutherAI/pythia-70m@step1,1,Sem,0.5229294300079346,0.0231935771632471,0.42158675695928954,0.9632676756836893,3.993751287460327,2.726806640625,0.5371422116886506,6,30
pythia-70m-full,EleutherAI/pythia-70m@step4,4,Sem,0.5225971341133118,0.0231935771632471,0.42163311571857776,0.9632650888811577,3.996701240539551,2.7295212745666504,0.5373420329358372,6,30
pythia-70m-full,EleutherAI/pythia-70m@step16,16,Sem,0.5267103314399719,0.005649717514124294,0.42287288326180167,0.9631055123125001,4.102949619293213,2.9429194927215576,0.5867072484244149,5,30
pythia-70m-full,EleutherAI/pythia-70m@step256,256,Sem,0.5247453451156616,0.0,0.41649629133955846,0.9641455500434349,3.563776731491089,2.7522308826446533,0.5565074895527803,6,30
pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,Sem,0.5802921056747437,0.005649717514124294,0.42037542493056473,0.9634281136375212,3.9630091190338135,3.059705972671509,0.5812983307513123,5,30
pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,Sem,0.6085963845252991,0.0,0.4115291936924448,0.9649731042286389,4.311906337738037,2.9296631813049316,0.665334945698455,6,30
pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,Sem,0.5244466662406921,0.0,0.408653715904965,0.9655131583868228,3.9138078689575195,2.9287893772125244,0.6206880793741657,6,30
pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,Sem,0.5023840069770813,0.005649717514124294,0.42496889849328556,0.9626852145272043,3.6107776165008545,2.696014165878296,0.7824628756701434,6,30
pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,Sem,0.5524581074714661,0.017143970387687512,0.4343549293644405,0.961081758641288,4.471112251281738,3.1082022190093994,0.788476705297513,6,30
pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,Sem,0.5115171670913696,0.017143970387687512,0.43397309986787613,0.9611482899660808,4.802413463592529,3.1239657402038574,0.6990259634519649,6,30
