family,step,layer,per,gini,hoyer,norm,condition_number
parc-pythia-seed1,10,0,0.3649066311064454,0.09301193203100781,0.01712181415093804,8.317549146032976,22.97753974864701
parc-pythia-seed1,10,1,0.3038616868160572,0.13350483470568295,0.03478962271861058,13.655604433476272,29.195949009827697
parc-pythia-seed1,10,2,0.282483734930666,0.16734466754106148,0.049826653478674446,18.838720935354512,32.48411254566043
parc-pythia-seed1,10,3,0.25488295944524986,0.20377418622137577,0.07066294646616468,24.122511448091963,36.270511783874895
parc-pythia-seed1,10,4,0.2468701625520522,0.23057869137675313,0.08689434699289489,29.459498242971303,37.955646723120374
parc-pythia-seed1,10,5,0.2371387243806245,0.2595029173574976,0.10621131322716035,34.94453930156325,39.887239719089024
parc-pythia-seed1,10,6,0.23571609448366446,0.2776281235527411,0.11746805056246806,40.287918745852494,40.64906016742679
parc-pythia-seed1,10,7,0.23187083586963333,0.2919272677358573,0.1273896702082124,44.993172848763045,41.84729403124484
parc-pythia-seed1,10,8,0.22621334124555556,0.3008344317056693,0.1333113638655495,49.66981738380637,43.072227973919446
parc-pythia-seed1,10,9,0.22036420460619147,0.3056905954648624,0.13570565967895437,54.275635963605694,44.522921272323735
parc-pythia-seed1,10,10,0.22084250402210007,0.3107273639568489,0.13876237251098114,58.34817513401533,45.330040593090565
parc-pythia-seed1,10,11,0.2182218182909546,0.3133180480261788,0.13935391340376752,62.46562140773246,45.866757453327466
parc-pythia-seed1,20,0,0.3646000992927237,0.10427374650870957,0.021543094099310774,8.554228222882012,23.13602471902449
parc-pythia-seed1,20,1,0.30196938080140573,0.17950445123891642,0.05693447798640355,15.563710701723744,29.904736666816927
parc-pythia-seed1,20,2,0.278229418231234,0.236180119627125,0.09195343262344463,23.306898475536073,33.92492138155306
parc-pythia-seed1,20,3,0.24578544969421923,0.2794152867768915,0.11630485308570865,32.34339104292551,39.393036248124474
