dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Phon,ses-11,96,0.0109587284655801,0.011167001530607753,0.0073011548392806986
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Phon,ses-11,96,0.0109587284655801,0.011167001530607753,0.0073011548392806986
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Phon,ses-11,96,0.011627050405473845,0.011208038197214637,0.007734075262734595
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Phon,ses-11,96,0.039379661348769184,0.02775950908464513,0.02628211788519335
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Phon,ses-11,96,0.005472237672250662,0.037844246963157205,0.003422187845133782
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Phon,ses-11,96,0.025576297099384946,0.02542201267302981,0.016973751553703297
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Phon,ses-11,96,0.042538892174917575,0.042650670844244724,0.028560626176100484
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Phon,ses-11,96,0.033683998264638026,0.014358164362167115,0.022387373346725005
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Phon,ses-11,96,0.04540462048213162,0.02699769253039186,0.030357726956126884
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Phon,ses-11,96,0.03162601334543791,0.02293616031276957,0.021230609975256193
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Phon,ses-11,96,0.034664134026609776,0.0233004016184119,0.023017320665119696
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Phon,ses-11+,96,0.0005821341056877522,0.012539451283189727,0.0005037269638232453
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Phon,ses-11+,96,0.0005821341056877522,0.012539451283189727,0.0005037269638232453
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Phon,ses-11+,96,-0.000682080475570239,0.012242897757148662,-0.0003490300658423862
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Phon,ses-11+,96,0.016867583802313905,0.02200009623136999,0.011297683779529983
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Phon,ses-11+,96,-0.007878297192880317,0.042793850919532576,-0.006041645020645494
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Phon,ses-11+,96,0.0375216310557879,0.02989866865674293,0.024884073531052903
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Phon,ses-11+,96,0.04411277505462898,0.029133997964816593,0.02923290349145511
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Phon,ses-11+,96,0.025982097081642137,0.007189170627820641,0.017265443714572677
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Phon,ses-11+,96,0.04658357160271951,0.014761397242643609,0.0311450648995817
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Phon,ses-11+,96,0.023087618023827028,0.008646895644939858,0.015322881672265773
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Phon,ses-11+,96,0.03220960475688494,0.011218852905448513,0.021245233065115082
