family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,7.105004528389611,0.12888236819496016,0.030833534402525672,0.23799435635483887,37.947603277023404,
pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,7.105004528389611,0.12888236819496016,0.030833534402525672,0.23799435635483887,37.947603277023404,1.0
pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,7.1410217201921204,0.13018072751880155,0.03141890230599638,0.23813314222774365,37.95983779246448,0.9999362444146612
pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,9.889249480112555,0.24902787495806922,0.10145324975799414,0.24913503716299168,37.59955829451059,0.993009234036179
pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,8.608842031469033,0.13004194746269612,0.0306280112706942,0.135651535546124,70.47081476408151,0.6960597645964693
pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,60.70016956498853,0.39265668176500207,0.45221745980689443,0.05877568743110571,157.5794427954646,0.42642118374441756
pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,187.81676828869956,0.45635126606989823,0.6901492419696345,0.0535347032895328,344.521104320818,0.880090341647137
pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,235.86833090677683,0.4441304443452878,0.7608988448102604,0.04998834008133416,430.097941188943,0.9362892187977704
pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,308.5951343493464,0.4887916920419551,0.7919863609422757,0.04886556789409246,597.3435552735262,0.9517290990987913
pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,274.3419543174227,0.5058233391677406,0.7955127664062976,0.04476220560216404,776.1404602812522,0.9437528481107637
pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,219.42292885248358,0.5227022819387864,0.7806824614399184,0.0421454617640424,952.536466408158,0.9720951392463238
