family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
pythia-410m-full,EleutherAI/pythia-410m@step0,0,Gram,0.5727680921554565,0.004118089375188863,0.42505248507845533,0.9704337917004183,4.544392108917236,2.7939200401306152,0.43256741978550844,24,245
pythia-410m-full,EleutherAI/pythia-410m@step1,1,Gram,0.5727680921554565,0.004118089375188863,0.42505248507845533,0.9704337917004183,4.544392108917236,2.7939200401306152,0.43256741978550844,24,245
pythia-410m-full,EleutherAI/pythia-410m@step4,4,Gram,0.5674393773078918,0.003416714607049826,0.4243155424437028,0.9705296963492109,4.568960666656494,2.7973124980926514,0.4274493369264815,24,245
pythia-410m-full,EleutherAI/pythia-410m@step16,16,Gram,0.5817558169364929,0.0041011715672786865,0.4190107902792623,0.9712523504587268,4.059552192687988,2.827449083328247,0.4457710067940059,24,245
pythia-410m-full,EleutherAI/pythia-410m@step256,256,Gram,0.5629404187202454,0.00754603056038343,0.41210504808878273,0.9721681107266891,4.34564733505249,2.8714983463287354,0.5041049019542545,24,245
pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,Gram,0.5698710083961487,0.009639279638512813,0.4190652727117648,0.9712183522562987,5.0045247077941895,3.096252918243408,0.6028238460784098,24,245
pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,Gram,0.5481132864952087,0.00204778347692961,0.41600565914173315,0.97159147159998,4.936627388000488,2.9871981143951416,0.5921888982623972,23,245
pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,Gram,0.5203558206558228,0.00823897245225621,0.4132071273118134,0.972034989085539,4.364146709442139,2.884308099746704,0.5414901525784381,24,245
pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,Gram,0.5269227623939514,0.013109858470683211,0.41594031809608695,0.9717124467888717,4.293684005737305,2.975278854370117,0.6325107261743278,24,245
pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,Gram,0.5241719484329224,0.011022317665002224,0.41524164456377893,0.9717582968647297,4.366916656494141,2.9760308265686035,0.6569753835492239,24,245
pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,Gram,0.5402643084526062,0.011045084590561171,0.41753235482812645,0.9714291315710234,4.775729656219482,3.0569844245910645,0.6855628623032178,24,245
pythia-410m-full,EleutherAI/pythia-410m@step0,0,Phon,0.551472008228302,0.0006816632583503749,0.4190058745286631,0.9712764944672513,4.837944507598877,2.8641650676727295,0.517920286621379,24,245
pythia-410m-full,EleutherAI/pythia-410m@step1,1,Phon,0.551472008228302,0.0006816632583503749,0.4190058745286631,0.9712764944672513,4.837944507598877,2.8641650676727295,0.517920286621379,24,245
pythia-410m-full,EleutherAI/pythia-410m@step4,4,Phon,0.5552864074707031,0.0013633265167007499,0.4193740496802492,0.9712082101595967,4.841124534606934,2.8646461963653564,0.5206396465125747,24,245
pythia-410m-full,EleutherAI/pythia-410m@step16,16,Phon,0.5510113835334778,0.004796872315314783,0.4156601648197196,0.9717287765822045,4.148320198059082,2.816467523574829,0.5148569543758849,24,245
