dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-5,72,-0.015410103477882598,-0.02187032288268606,-0.010147337602479411
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-5,72,-0.01926866269377371,-0.01931616811893722,-0.012607762250826113
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-5,72,-0.009164775916900408,-0.011110283624655395,-0.006080317521567762
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-5,72,-0.008924813185349966,-0.012079991084030763,-0.005906366662685396
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-5,72,-0.01287920025999927,-0.009296411011842688,-0.008767368288880925
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-5,72,-0.010552542247878171,-0.005771318381984547,-0.007179760450067222
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-5,72,-0.011977024266592513,-0.005497718682662954,-0.008282878396712084
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-5,72,-0.012757512173829965,-0.006506584879100646,-0.008725105580208802
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-7,72,-0.020989929375946025,-0.022266273453964293,-0.01404469434567833
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-7,72,-0.02049859942751711,-0.01937961093212354,-0.014067356957574977
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-7,72,-0.012396393852873179,-0.011132168549145529,-0.008222240597312948
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-7,72,-0.012209366042446436,-0.012849030302547056,-0.008194065458198199
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-7,72,-0.015275616066686358,-0.009728094973529776,-0.010241663068211398
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-7,72,-0.013211731194009983,-0.006184034656676833,-0.009109757479427553
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-7,72,-0.012548335803712294,-0.006008839783130774,-0.008584842387659289
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-7,72,-0.01317854680059614,-0.006985838802051226,-0.008978069329217313
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-9,72,-0.0160688573073275,-0.021763087120431384,-0.010629989985575553
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-9,72,-0.014388528200182393,-0.01900459840045995,-0.009695922873619188
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-9,72,-0.004679681440889961,-0.011128389927142456,-0.0031586780959730987
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-9,72,-0.010630781903838408,-0.01261364665739824,-0.007132597717201228
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-9,72,-0.013386667519236381,-0.00959608693662338,-0.009148345169954275
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-9,72,-0.009540722943260086,-0.006012805235084323,-0.006475381972198488
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-9,72,-0.009832319176720051,-0.005860502081553983,-0.006700170582092249
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-9,72,-0.010323460128322162,-0.006836764911069522,-0.007050522311953915
