dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,ses-5,72,-0.004058537261358584,5.155569096120492e-05,-0.0029020393288191858
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,ses-5,72,-0.004468482876587468,-0.0024141716013264466,-0.0029081643590615227
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,ses-5,72,0.0011259719507653492,0.001672254695482574,0.0010798428317239815
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,ses-5,72,-0.007251231911678721,-0.006606011579238317,-0.0049802620900440695
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,ses-5,72,-0.0016903071335332394,0.0012784908220254791,-0.001318106508150884
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,ses-5,72,-0.007674829852822027,-0.005958855004750964,-0.004881649103142446
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,ses-5,72,-0.008048094992650879,-0.0057433536224263055,-0.005498439648545765
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,ses-5,72,-0.009417095304103996,-0.006924512743091938,-0.0064704819480046185
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,ses-5,72,-0.0087376596165784,-0.006214677086587308,-0.005889829081031087
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,ses-7,72,-0.0006736457733297602,0.0012746654005200836,-0.0007797163498494774
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,ses-7,72,-0.006514369214952203,-0.0020532193063965854,-0.004342033938792573
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,ses-7,72,-0.0017148142011540154,0.0022583762742843187,-0.0008991544395750453
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,ses-7,72,-0.006677934829948902,-0.006362973860563337,-0.004530072367232313
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,ses-7,72,-0.0007972583214844719,0.002141750050682954,-0.0007233660716199786
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,ses-7,72,-0.009032359565988692,-0.005520924471209606,-0.006081542527616229
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,ses-7,72,-0.0095861195498853,-0.005516372778963176,-0.00646925694195615
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,ses-7,72,-0.010576371657675106,-0.0067148000752919,-0.007130147705104293
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,ses-7,72,-0.009584311504196245,-0.005954549115074058,-0.006387794039733071
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,ses-9,72,-0.0009735729581701767,0.0009060302447087276,-0.0009640797601438157
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,ses-9,72,-0.0001179333013023236,-0.002204734183566044,-0.00028665141534136326
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,ses-9,72,0.00860313914890295,0.0024169146045337746,0.005797341124371801
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,ses-9,72,0.002833184598938906,-0.006166858165883183,0.0017989213821743243
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,ses-9,72,0.005178347053227409,0.0022494125732487966,0.0032866912280379384
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,ses-9,72,-0.00016129693445601903,-0.0051095604661762365,-8.330041129578076e-05
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,ses-9,72,-0.0016487709487846588,-0.00518271872166307,-0.0011361931099534803
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,ses-9,72,-0.003007012813492603,-0.006315474880846247,-0.0020641351916675086
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,ses-9,72,-0.0014047005903826107,-0.005540073695228515,-0.0009861298690162282
