dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-5,72,-0.0015336402620241944,0.0003358523016321509,-0.0009236545605443926
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-5,72,-0.01936443881195574,-0.007299357876129477,-0.012986289119802527
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-5,72,-0.008190135809346986,-0.011790203653224774,-0.005483127072939922
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-5,72,-0.005642830110202648,-0.011475068176212903,-0.0036835931877413643
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-5,72,-0.01925080860190384,-0.014637637827102257,-0.012751087958496794
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-5,72,-0.016840509073947848,-0.012870247539987861,-0.010900103819262607
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-5,72,0.0033965453341891654,0.0027063969936946906,0.0023072988922882808
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-5,72,0.00038893606683252605,0.005670283800139578,0.00016843833166426257
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-5,72,-0.007158042822304561,-0.000980550071921724,-0.004803861219064769
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-5,72,-0.003712540123783795,-0.0005385650999941202,-0.0026270254709382626
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-5,72,0.007590544454261619,0.005885225047772379,0.005470264509431015
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-7,72,-0.003225646211141269,0.00014310311780798418,-0.002102722882194231
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-7,72,-0.021571920311708515,-0.0069671554778324915,-0.014295208082589907
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-7,72,-0.0136714519621214,-0.011443076621434855,-0.009310658471376203
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-7,72,-0.01070900071984436,-0.011020503026768906,-0.006836146253472126
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-7,72,-0.020730617824770054,-0.013815266769410157,-0.013621454755932856
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-7,72,-0.019682281171290658,-0.012474387278799993,-0.01301997678613538
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-7,72,0.005644194049279685,0.003383248844165093,0.003639492969996539
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-7,72,0.0037125315003544357,0.005752625229882881,0.002415711927577642
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-7,72,-0.003913167800929685,0.0005374218892973456,-0.002710938385258277
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-7,72,-0.0030191280131236804,0.0012482503302052592,-0.002108235409412334
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-7,72,0.006614898998568694,0.0072859204455047125,0.004515372294650705
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-9,72,-0.0010807736830154059,0.0004335978071391654,-0.0006063779939913454
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-9,72,-0.014283195885031734,-0.006407554393756686,-0.009313720986497371
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-9,72,-0.013078770129810385,-0.010816515601785755,-0.008748993198153915
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-9,72,-0.009834136564457576,-0.010260973321051137,-0.0065868575226090175
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-9,72,-0.019386373941770025,-0.013537033806124641,-0.012911563750846018
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-9,72,-0.02448127925527604,-0.012548134382413919,-0.016177429876060013
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-9,72,0.00104903083954284,0.003885136303569927,0.00045263973490869105
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-9,72,-0.006263060924841024,0.005557507293673804,-0.004368984071858854
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-9,72,-0.004696447543422299,0.0008132289288814397,-0.0033926542512303652
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-9,72,-0.0020765210711645955,0.0017322203983836312,-0.0014497946583611257
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-9,72,0.007746830457640617,0.007580634483727517,0.005208113215058999
