dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Sem,ses-5,72,0.005401436607997632,0.007250413358618368,0.0037154433450015158
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Sem,ses-5,72,0.00042088156089504174,0.002023548611719538,0.00019232594960937619
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Sem,ses-5,72,-0.01749175189642057,-0.012958261062851603,-0.011729432914075013
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Sem,ses-5,72,-0.00913603761994054,-0.009685807336914437,-0.006027642261483666
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Sem,ses-5,72,-0.017682529461380492,-0.01267817883195092,-0.011679820169112084
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Sem,ses-5,72,-0.031182042458597053,-0.024644453075336772,-0.020987416125367118
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Sem,ses-5,72,0.015440547057998322,0.008724700827033608,0.010609777385775841
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Sem,ses-5,72,0.017612660999471057,0.010750302761231647,0.011756383047141295
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Sem,ses-5,72,0.004939705862226322,0.0012566371674377344,0.003012902376205482
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Sem,ses-5,72,-0.0023494806365403067,-0.003965667908262824,-0.0013499566654110353
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Sem,ses-5,72,0.0017606311999605073,-0.0006145052039037025,0.0012782938115756947
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Sem,ses-7,72,-0.00493535103039974,0.006500855282555366,-0.0030447525334656336
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Sem,ses-7,72,-0.005121444635979194,0.0008926076319550839,-0.0033473290274370726
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Sem,ses-7,72,-0.016639289254652603,-0.013594734999890024,-0.011367443626752906
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Sem,ses-7,72,-0.010988572299681518,-0.0093123202608511,-0.007437011720245368
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Sem,ses-7,72,-0.018744118169928204,-0.01255658697116406,-0.012531811875821136
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Sem,ses-7,72,-0.02631453841454105,-0.024323112562855444,-0.017700112394304947
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Sem,ses-7,72,0.013104745336279627,0.008767431187612916,0.00879983094916531
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Sem,ses-7,72,0.017768614282200595,0.0113736762350642,0.011875821136866863
