dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Sem,ses-5,72,-0.0004093664082235667,-0.0014550471433165445,-0.00033381414820735675
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Sem,ses-5,72,0.0006343207795927952,0.001237002016535177,0.00031237654235917787
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Sem,ses-5,72,-0.0011874347249065489,0.0020689609083109897,-0.0008317791069093404
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Sem,ses-5,72,-0.012507045386700461,-0.009470818883805548,-0.00861485503584674
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Sem,ses-5,72,-0.007991168860971926,-0.004892334145390559,-0.005143187894490228
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Sem,ses-5,72,0.005403430057417918,0.0014523123259140881,0.003495554759301624
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Sem,ses-5,72,-0.013496190821055786,0.0011310175883499354,-0.009360883719363363
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Sem,ses-5,72,0.0013487007587406963,0.003636834987693691,0.001096380413378291
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Sem,ses-5,72,0.0029120738865775642,0.0003952450555416067,0.0018307715394344757
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Sem,ses-5,72,-0.009787503932957494,-0.009942423872096231,-0.006443531814938335
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Sem,ses-5,72,-0.0021035706132082168,-0.004147605868762224,-0.0013144314900054817
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Sem,ses-7,72,-0.0019128067020114446,-0.001339538893692655,-0.0012323560847581686
