dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step0,0,0,Sem,ses-5,72,0.0032479341829401826,0.009519454152899573,0.0022350235354287058
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step1,1,2097152,Sem,ses-5,72,0.0032479341829401826,0.009519454152899573,0.0022350235354287058
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step4,4,8388608,Sem,ses-5,72,0.003535450815693956,0.009856201966663723,0.0023630366674935455
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step16,16,33554432,Sem,ses-5,72,0.0005462554444964449,0.008423143690428875,0.00031727656655304733
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step256,256,536870912,Sem,ses-5,72,0.005058161599624012,0.007813218289975374,0.00346492960808994
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step5000,5000,10485760000,Sem,ses-5,72,-0.01687760778567182,-0.006121475919122935,-0.011183080216458568
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step14000,14000,29360128000,Sem,ses-5,72,-0.013722338818772203,-0.009537841968170901,-0.008975619317120377
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step28000,28000,58720256000,Sem,ses-5,72,-0.019174846968532756,-0.010647762630194242,-0.01247729910666434
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step51000,51000,106954752000,Sem,ses-5,72,-0.016338102330506574,-0.00889658250288964,-0.011069154653951105
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step86000,86000,180355072000,Sem,ses-5,72,-0.01246423868335957,-0.00832750206662446,-0.008298803475342158
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step143000,143000,299892736000,Sem,ses-5,72,-0.005067211888736878,-0.0029738780252243835,-0.003132952968955284
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step0,0,0,Sem,ses-7,72,-0.0011290073978999168,0.009265233328490396,-0.0006517032177846378
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step1,1,2097152,Sem,ses-7,72,-0.0011290073978999168,0.009265233328490396,-0.0006517032177846378
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step4,4,8388608,Sem,ses-7,72,-0.0007212593199194954,0.009510760515078997,-0.00039996447482459446
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step16,16,33554432,Sem,ses-7,72,0.0004167020721321049,0.00787377512411631,0.00028971393046253166
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step256,256,536870912,Sem,ses-7,72,0.0023027215280762817,0.007644871140702787,0.001587607838813704
ds003604,polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step5000,5000,10485760000,Sem,ses-7,72,-0.016768392771452017,-0.0058271464659369766,-0.011264543118681646
