dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Sem,ses-5,72,-0.010918576642189025,-0.0053331050629281005,-0.0071705729047037165
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Sem,ses-5,72,-0.010918576642189025,-0.0053331050629281005,-0.0071705729047037165
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Sem,ses-5,72,-0.011620564034728118,-0.005984407007575342,-0.007779400910791996
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Sem,ses-5,72,-0.011428411751404454,-0.005336276410682751,-0.007647712760581755
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Sem,ses-5,72,-0.005954784823142321,-0.0037555986401428057,-0.0038434564770663555
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Sem,ses-5,72,-0.015180507545660582,-0.007050466758319225,-0.010076899754692538
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Sem,ses-5,72,-0.008503223784628328,0.0033714083429007644,-0.005782641051790193
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Sem,ses-5,72,-0.008885058457383252,-0.0017800699261954628,-0.006218743205044575
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Sem,ses-5,72,-0.0004654122314887318,0.00020514843233249667,-0.00046611480144183206
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Sem,ses-5,72,-0.0005035069493037319,0.005017870260565781,-0.0006811033629478546
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Sem,ses-7,72,0.0020568970204186744,-0.003511967115881141,0.001614557971879986
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Sem,ses-7,72,0.0020568970204186744,-0.003511967115881141,0.001614557971879986
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Sem,ses-7,72,0.000853362352897814,-0.004214905868539681,0.0008403541492486118
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Sem,ses-7,72,-0.006652548172533449,-0.004522824918387555,-0.004256283515399857
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Sem,ses-7,72,0.0003207240219792386,-0.002140308036700221,0.00022785112501492975
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Sem,ses-7,72,-0.006178373818196284,-0.004892540018616613,-0.0044584095133969725
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Sem,ses-7,72,-0.0076765538200748275,0.0044718622811319615,-0.005131550337029789
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Sem,ses-7,72,-0.009088130158133464,-0.0008294626845762633,-0.006368806445981826
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Sem,ses-7,72,-0.006781791101440845,0.00034871971910602033,-0.0042152458127762
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Sem,ses-7,72,-0.005634691030125443,0.005696633317469961,-0.0035555800556765246
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Sem,ses-9,72,0.001182669561566275,-0.003049021261315556,0.0008091164950126942
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Sem,ses-9,72,0.001182669561566275,-0.003049021261315556,0.0008091164950126942
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Sem,ses-9,72,0.00044030224243189964,-0.00377136221929591,0.0004158895534546702
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Sem,ses-9,72,-0.0038837231013814444,-0.0042460174520895354,-0.0025063623751642276
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Sem,ses-9,72,-0.0001784999574092417,-0.0020274085033544238,-3.246266028438515e-05
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Sem,ses-9,72,-0.004377130577666897,-0.004215290727597694,-0.0030698651574592147
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Sem,ses-9,72,0.002115064207306293,0.005221996442369711,0.0011925433881829792
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Sem,ses-9,72,-0.006129098824216606,-3.825456943904078e-05,-0.004409409271458277
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Sem,ses-9,72,0.001036183367035312,0.0010756690578650162,0.0008262665796912372
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Sem,ses-9,72,0.004982625388768,0.006515954090207499,0.002969414661484891
