dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Sem,ses-5,72,0.012857385139576905,0.022087194837548334,0.00851011701870278
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Sem,ses-5,72,0.012857385139576905,0.022087194837548334,0.00851011701870278
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Sem,ses-5,72,0.01299229869190733,0.02215585216417342,0.008606279993507467
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Sem,ses-5,72,0.008460371089664187,0.014197978914397726,0.005750790894530042
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Sem,ses-5,72,0.016573125274272214,0.012081617610355483,0.01121860539186412
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Sem,ses-5,72,0.00429786257775553,0.007878635764927592,0.0025694501866602966
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Sem,ses-5,72,0.006792661652767692,0.00936173441783007,0.004795898679749731
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Sem,ses-5,72,-0.016242529581533608,0.0025710369292120186,-0.01116654263480426
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Sem,ses-5,72,-0.0013584071471040022,-0.0006201180760110449,-0.0008691417913875949
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Sem,ses-5,72,-0.007755389211279988,0.004688079223488305,-0.005410851716080347
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Sem,ses-5,72,-0.007036003331388857,0.005285645792297067,-0.004843061412615725
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Sem,ses-7,72,0.012627310607025433,0.02303525018215436,0.008394353947122613
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Sem,ses-7,72,0.012627310607025433,0.02303525018215436,0.008394353947122613
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Sem,ses-7,72,0.012787191861828256,0.023104779271877204,0.008513792036848182
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Sem,ses-7,72,0.005516005334611497,0.01422992056756812,0.003945744482113381
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Sem,ses-7,72,0.01630418782007363,0.011726258787129334,0.010889691267850634
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Sem,ses-7,72,0.007031306436864346,0.008967131483778985,0.004440646925694195
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Sem,ses-7,72,0.008710703495019506,0.01064241286768387,0.005906366662685396
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Sem,ses-7,72,-0.015254842225359161,0.003987144774328608,-0.010336601036967619
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Sem,ses-7,72,-0.0007338797087872216,0.0007127036707736843,-0.00019232594960937619
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Sem,ses-7,72,-0.00966248289134072,0.00636783907950582,-0.00637431897319993
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Sem,ses-7,72,-0.010122112394824748,0.00692872709990996,-0.006610132637529897
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Sem,ses-9,72,0.016247074847425214,0.023039910048153346,0.011150005053149949
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Sem,ses-9,72,0.016247074847425214,0.023039910048153346,0.011150005053149949
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Sem,ses-9,72,0.016349074207128396,0.023110509102545113,0.011214317870694487
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Sem,ses-9,72,0.00575555414155268,0.01430388338719084,0.003896131737150452
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Sem,ses-9,72,0.015166520343239365,0.012077958575140544,0.010081799778886407
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Sem,ses-9,72,0.013655824152264526,0.00948945894861714,0.008780230852389832
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Sem,ses-9,72,0.01513306287456247,0.011430772323208393,0.010129575014776635
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Sem,ses-9,72,-0.010311951443222707,0.004472762304302613,-0.007169347898655249
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Sem,ses-9,72,0.005072567756988282,0.0010779154882651371,0.003838556452872486
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Sem,ses-9,72,0.004703795423855763,0.007220121495433303,0.00311396537520404
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Sem,ses-9,72,-0.0001730801320567539,0.007555356206545226,-2.878764213898306e-05
