dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-5,72,-0.004047089658883759,0.0031378170336224774,-0.002489824793509918
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-5,72,-0.004047089658883759,0.0031378170336224774,-0.002489824793509918
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-5,72,-0.003141454951684704,0.002852565216073622,-0.0019502096291600438
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-5,72,0.006085425466225079,0.0048670386600703774,0.0044498344710577
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-5,72,0.0097306784079544,0.017156263659583938,0.006646270315959685
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-5,72,0.00029753633905047654,0.0014823642089181032,0.00011453806553169856
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-5,72,0.0002667557265706158,0.005898981985002863,0.00019967598590018038
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-5,72,-0.0070175060754125865,-0.009759302084304481,-0.004812436261404041
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-5,72,0.0025784858638511917,0.0034260226989349654,0.002040860076746629
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-5,72,-0.0002018644206398749,-0.00017487178842501283,0.0002731763488082222
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-5,72,-0.002568559578039217,0.00509988202968446,-0.0017762587702776782
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-7,72,0.005335551451833201,0.0034326628664256616,0.0037889437079095573
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-7,72,0.005335551451833201,0.0034326628664256616,0.0037889437079095573
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-7,72,0.005828854728347225,0.0030840574950002225,0.004195033212976489
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-7,72,0.007420596782919728,0.00458417093061983,0.005410851716080347
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-7,72,0.013653776087791626,0.016348295825214285,0.008933969111472487
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-7,72,-0.004811576074325424,0.00032414247681885125,-0.003368766633285252
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-7,72,-0.00016392564317246035,0.007223644683059556,-0.00019783847682747931
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-7,72,-0.007642944722765029,-0.00856800550254452,-0.004962499502341292
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-7,72,0.0044173732480115415,0.004337402044801997,0.0033644791121156155
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-7,72,-0.004242429017974895,3.069357128483545e-05,-0.002618450428598991
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-7,72,-0.003656528794236068,0.006314997398360455,-0.0024114244064080063
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-9,72,0.011445903659241223,0.003432329873355353,0.007713250584174759
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-9,72,0.011445903659241223,0.003432329873355353,0.007713250584174759
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-9,72,0.01139649069039179,0.003074428187162602,0.00762688765775781
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-9,72,0.009481308233591786,0.004523279584790561,0.006515194668773677
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-9,72,0.010149853967074475,0.01619132413946879,0.006811646132502779
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-9,72,-0.0062980756411364315,0.001018564040676781,-0.004377559114198126
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-9,72,0.004198702482168984,0.007789562756324961,0.002609262883235486
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-9,72,-0.010180441989631972,-0.008163920389549262,-0.006658520376444358
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-9,72,-0.000792614604774345,0.004784097335160133,-0.0004005769778488281
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-9,72,-0.005824876452936011,0.0008566925202529354,-0.004030269899457628
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-9,72,-0.0008345330948911998,0.0072255158342513955,-0.0006541532298815725
