dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-5,60,0.03292093448012988,0.04214718907541713,0.021723147873132065
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-5,60,0.02173721257066498,0.0290692222478094,0.014542353718944917
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-5,60,0.007642630621194133,0.026111959489615227,0.0050109704803058324
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-5,60,0.018720486431365643,0.02796915840247935,0.012604395218339705
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-5,60,0.034442869211064445,0.037696090668644384,0.02314499877041196
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-5,60,0.03443777077624228,0.038904367645626096,0.022860117593328927
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-5,60,0.03377627915436811,0.03900203347712059,0.02241043968152073
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Gram,ses-5,60,0.0375499519070551,0.03881229826624492,0.024823625975286878
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Gram,ses-5,60,0.03807581564096472,0.038864089758255074,0.02518260180829285
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-7,60,0.027532553227721763,0.04548361077042161,0.01836461596931459
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-7,60,0.024138341657575932,0.031071752657556427,0.015519636680687164
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-7,60,0.010081229741613499,0.029221091547071188,0.00652735593859086
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-7,60,0.01821296278027346,0.03049331629141658,0.012329733993797767
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-7,60,0.03593294738044675,0.04055937535842117,0.02414016664910112
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-7,60,0.035849459428222985,0.04195409369148016,0.023707096160172206
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-7,60,0.03590283934832417,0.0425025491314591,0.023878280365235555
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Gram,ses-7,60,0.03906993036248915,0.04209087245462444,0.025859673664140423
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Gram,ses-7,60,0.03929858088172097,0.04213609883495845,0.02603469035140668
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-9,60,0.015097899172727558,0.04499318565494624,0.009915270205963982
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-9,60,0.008738095128992485,0.02952121645177857,0.005705927253100318
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-9,60,-0.004835773457908627,0.027614631660630242,-0.003115169283932638
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-9,60,-0.0010026333924401563,0.028549605123836516,-0.00040688186054236013
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-9,60,0.015141584276188967,0.03819531564862305,0.010126056727124074
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-9,60,0.014281513378838848,0.039301228977987004,0.009424712483991403
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-9,60,0.015414478216447616,0.039997856682285615,0.010147774126273901
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Gram,ses-9,60,0.01738120161312011,0.03951262177542922,0.011393330842219902
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Gram,ses-9,60,0.017437706380370364,0.039562060430595944,0.01136139349052898
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-5,72,-0.005575942480375168,-0.00839484216724734,-0.0038177313500485405
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-5,72,-0.00862512961238896,-0.013291579036532315,-0.0055008896606426995
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-5,72,-0.013586797911955871,-0.019994864272123762,-0.009179582824190194
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-5,72,-0.011503331387061257,-0.01480907463616669,-0.007713250584174759
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-5,72,-0.004868239191408911,-0.008619413618297576,-0.0037785311564975848
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-5,72,-0.002056757608310695,-0.010651203740403181,-0.001704595916442337
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-5,72,-0.003387263649721818,-0.011487909425259627,-0.002395499327777931
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-5,72,-0.0021985576876038465,-0.009839003228325344,-0.001705208419466571
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-5,72,-0.0026212458569497173,-0.010577305427094362,-0.0020414725797708627
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-7,72,-0.007909508578032394,-0.00870153377578108,-0.005323876286639165
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-7,72,-0.004279606059182214,-0.01348557380835946,-0.0025823127501692035
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-7,72,-0.011820831683698244,-0.01992708968657891,-0.007865763837208946
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-7,72,-0.011665740025285545,-0.014928364906876077,-0.007655062796872559
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-7,72,-0.00434188518463612,-0.00904349220375274,-0.002948589558660946
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-7,72,-0.0027908263139247136,-0.011233038450142552,-0.0018240340061679054
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-7,72,-0.004944537138525019,-0.011932523310381684,-0.003273216161504797
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-7,72,-0.0036744346266820954,-0.01024518480149806,-0.002483699763267581
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-7,72,-0.0041859433998123925,-0.01097746419652164,-0.002851814080832024
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,72,-0.0006768594380044254,-0.008008004459645012,-0.0005880029032643349
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,72,-0.004203440337982953,-0.01289075924895327,-0.002202560875144321
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-9,72,-0.014043601805086417,-0.019497850035038462,-0.009399471409890085
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-9,72,-0.012307903095261755,-0.014527945176330812,-0.008156090270695712
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-9,72,-0.002850698783968187,-0.008627024885767692,-0.002075160246103715
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-9,72,-0.004212323188842421,-0.010986651990281952,-0.002824863947765742
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-9,72,-0.00610883735831719,-0.011869420750080559,-0.0041147953168018765
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-9,72,-0.005032750509158709,-0.010169937302783913,-0.0034208293903451145
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-9,72,-0.005136933033728089,-0.010865622669059175,-0.0035120923409559333
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Plaus,ses-5,60,0.002014484434763598,-0.0035506122554262325,0.0010379639299550002
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Plaus,ses-5,60,0.0031130283452580213,-0.0004193150795900437,0.002114891428972927
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Plaus,ses-5,60,0.00634955415556224,-2.0949209412250702e-05,0.004169101889733099
