dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,5242880,Gram,ses-5,60,0.017382406973135367,0.006005019309790644,0.011567070035418523
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,10485760,Gram,ses-5,60,-0.001087592879332464,-0.0026537034416734416,-0.0006559932037315602
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,15728640,Gram,ses-5,60,-0.002539043263665671,-0.007782660007818193,-0.0017661355485080465
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,26214400,Gram,ses-5,60,-0.0013323653592710507,0.0075805974051787696,-0.0010315764596168157
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,36700160,Gram,ses-5,60,-0.01121794050056232,-0.00047249555805827306,-0.007227422687655894
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,52428800,Gram,ses-5,60,-0.017899629768910467,-0.006683182735382863,-0.011716536841332044
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,157286400,Gram,ses-5,60,-0.004249672019538129,-0.0005944808673974903,-0.002430432463679247
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,335544320,Gram,ses-5,60,0.015896390672242536,0.02634385418200161,0.010593619555879187
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.00949005367265812,0.020987372792917527,0.006307626958957309
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.010636757883223566,0.01888304681056997,0.007107338245298024
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.005711496723284523,0.013978706477814884,0.004143552008380361
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,5242880,Gram,ses-7,60,0.004660466070411279,0.006425795247991107,0.0030500170864831548
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,10485760,Gram,ses-7,60,-0.005935771590899016,-0.0019919422646997,-0.0038433409024856845
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,15728640,Gram,ses-7,60,-0.003970738295073766,-0.006969772041839888,-0.0026054491509455054
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,26214400,Gram,ses-7,60,0.0011968132120614924,0.010004974822575102,0.0005461287139147848
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,36700160,Gram,ses-7,60,-0.0006454508119763296,-0.0007589934309119714,-0.00015393803515024928
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,52428800,Gram,ses-7,60,-0.015291706780638615,-0.006362890494459664,-0.009829678103432308
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,157286400,Gram,ses-7,60,-0.004306722120224373,0.00012082204198118549,-0.0027536384627913886
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,335544320,Gram,ses-7,60,0.026857941143060324,0.02758408612321423,0.01761089446940881
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1100,1100,576716800,Gram,ses-7,60,0.020605163114180907,0.023120361243426233,0.013493531089415004
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.013854259779893798,0.020505700281372823,0.009224145915372406
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.008790319461574554,0.015317113013960021,0.005986975947980442
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,5242880,Gram,ses-9,60,-0.0037277121805432815,0.005453296661343179,-0.0025019721314669145
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,10485760,Gram,ses-9,60,-0.013005173456039994,-0.0023742033494887956,-0.008853672635757696
