dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-5,60,0.021962519676569016,0.018563450248934785,0.014534688754539097
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-5,60,0.02780329829456003,0.025249522022449688,0.018908828442127924
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-5,60,0.022896098058655712,0.024639774339445263,0.015707428308629794
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-5,60,0.007863505810919989,0.006171860104354192,0.005277966740441949
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-5,60,0.010537587266672017,0.014286657629361097,0.007293852379173014
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-5,60,0.031224739748138514,0.03836096549548635,0.020841676966462587
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-5,60,0.040197199495322036,0.052445291523547696,0.026718149677592434
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Gram,ses-5,60,0.03533489621495911,0.03325171241445264,0.023666216350007825
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.049827495831945685,0.05401969761268601,0.03317971467169999
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.04671422619828245,0.048925697386509676,0.03107695943636962
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.031424398870378574,0.035066477766622806,0.020804629638501118
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-7,60,0.01591936608926586,0.020829228821345504,0.01087466825075931
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-7,60,0.025857849393955756,0.027889136862987527,0.017259583600808655
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-7,60,0.033899853442180085,0.026692770325237803,0.0226378336255601
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-7,60,0.01768517306716532,0.007772683702974746,0.011549185118471608
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-7,60,0.015604133066963198,0.01763647977459218,0.010361115635569268
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-7,60,0.03122116694852417,0.04184048752966026,0.020697320136819616
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-7,60,0.04925855941267936,0.055757610793045864,0.033155442284414895
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Gram,ses-7,60,0.03695188559341646,0.03547363148989341,0.024689489098185
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Gram,ses-7,60,0.054005576607848695,0.05814595146740047,0.036014474007786325
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.05098564338858058,0.05289967566740224,0.03407779300124875
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.03572415175913232,0.03891501248394552,0.023741588499998405
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-9,60,0.002050764256407753,0.020088290091324127,0.0011299435028248588
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-9,60,0.009449422003633924,0.026502240754545773,0.006388109085218435
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-9,60,0.007351470174851483,0.025361910998114807,0.0047120368684787925
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-9,60,0.0016969380734011342,0.007244505275409272,0.0008565597723505571
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-9,60,0.011015751637105312,0.017708297123506855,0.00768604305793755
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-9,60,0.01589280056045562,0.04014962178299849,0.010755861302469076
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-9,60,0.021690963101641484,0.052185577557180896,0.014440154193533963
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Gram,ses-9,60,0.015806711454303055,0.032808347304661416,0.010624279413502474
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Gram,ses-9,60,0.02933391075199582,0.0553272162212228,0.019343176425124477
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Gram,ses-9,60,0.027250408095245475,0.05037590613168072,0.01792515801004749
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Gram,ses-9,60,0.01753054290578249,0.03699982431085448,0.011510860296442499
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Phon,ses-5,72,-0.0026738329664225827,-0.0019530274760746341,-0.0016996958922484678
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Phon,ses-5,72,-0.00909920695314583,-0.010049997791074678,-0.00599517960119928
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Phon,ses-5,72,-0.006487987988683948,-0.01127767040636863,-0.004588872657558747
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Phon,ses-5,72,-0.004886470558313262,-0.011744030161434956,-0.0031151903812525073
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Phon,ses-5,72,-0.019375614057786626,-0.013635324755219395,-0.012812338260920162
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Phon,ses-5,72,-0.016363039132357104,-0.014389567278027413,-0.011184917725531268
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Phon,ses-5,72,-0.0023242118326594354,0.006250284032318013,-0.001607207935589182
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Phon,ses-5,72,-0.0004484865955132419,-0.0071236252406374385,-0.00014822573186455107
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.015780488392305354,-0.01900412909742091,-0.010483601762783703
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.004826143920990186,-0.01654186377651536,-0.002983502231042266
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.004155214527908688,-0.008981750141581493,-0.0027740261967543465
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Phon,ses-7,72,-0.006307912099559245,-0.003859704182392981,-0.00446147202851814
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Phon,ses-7,72,-0.010252777470957358,-0.01184344092651448,-0.006705070606286118
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Phon,ses-7,72,-0.004279856138633642,-0.013137720106762589,-0.0030447525334656336
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Phon,ses-7,72,-0.004257266346807144,-0.01125000905915415,-0.002629475483035197
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Phon,ses-7,72,-0.023083401234755073,-0.01356150999200694,-0.015103712074578368
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Phon,ses-7,72,-0.017820382165884302,-0.014070582215783773,-0.011934008924169064
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Phon,ses-7,72,0.0020028511141458156,0.006735181120111411,0.0014228445252948434
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Phon,ses-7,72,0.003037319137357687,-0.006656487863573124,0.00238202426124479
