dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,10,5242880,Gram,ses-5,60,0.007545580745782535,0.0033263017570660377,0.005226866977736472
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,20,10485760,Gram,ses-5,60,0.010852973934506247,0.0020672278780092487,0.007309182307984658
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,30,15728640,Gram,ses-5,60,0.00820465948360462,0.006312727522497166,0.00573019964038542
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,50,26214400,Gram,ses-5,60,-0.0063500021080275144,-0.005277017391548599,-0.004439930632072127
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-70,70,36700160,Gram,ses-5,60,0.01667269878662932,0.005512210788986535,0.010875945744826948
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-100,100,52428800,Gram,ses-5,60,-0.004007070053235634,0.002220077297411119,-0.002514747072143284
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-300,300,157286400,Gram,ses-5,60,0.0144155615310563,0.014741680365883164,0.009880777866137785
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-640,640,335544320,Gram,ses-5,60,0.023374693069381707,0.02865605083931668,0.015404662214599841
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.015880443997283052,0.02014556871491531,0.01083762092279784
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.019673766065838164,0.019516414944644733,0.013227812323346523
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.013685208578759305,0.01863191657245647,0.008940542232357008
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,10,5242880,Gram,ses-7,60,0.002183888371414225,0.004691584127043138,0.001709925809532022
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,20,10485760,Gram,ses-7,60,-0.002490748794257224,0.0028664421124747824,-0.0015604590036185021
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,30,15728640,Gram,ses-7,60,0.00042116728827555134,0.0077772813100927055,0.000491196469006397
ds003604,parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,50,26214400,Gram,ses-7,60,-0.004120899751911699,-0.0041236021328297425,-0.0028315656009172407
