dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Gram,ses-5,60,0.008994272002612234,0.008476964636726063,0.0058068492844436355
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Gram,ses-5,60,0.008994272002612234,0.008476964636726063,0.0058068492844436355
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Gram,ses-5,60,0.007349332121538962,0.008202756789819996,0.004668602070179137
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Gram,ses-5,60,0.0007757487148105816,0.007777636079570565,0.0003992168961365386
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Gram,ses-5,60,-0.0009195219799698056,0.003697675612946578,-0.0004937514571416709
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Gram,ses-5,60,0.005387367408301927,0.013254629968641714,0.003348950698310195
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Gram,ses-5,60,0.01167007818355665,0.013995314796400569,0.007431821738477802
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Gram,ses-5,60,0.0021206902854436966,0.006949524098520381,0.0015540715332803174
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Gram,ses-5,60,0.014703904421313014,0.016742125407281504,0.009948485051722541
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Gram,ses-5,60,0.007243788461459705,0.015453598308020115,0.004553627604091814
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Gram,ses-5,60,0.005814456541607555,0.016978601515164636,0.004249584015994226
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Gram,ses-7,60,0.008934728949075765,0.010673470255110031,0.00595887107849243
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Gram,ses-7,60,0.008934728949075765,0.010673470255110031,0.00595887107849243
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Gram,ses-7,60,0.007817459759924206,0.010356720504661113,0.005142552369272435
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Gram,ses-7,60,0.0031485680715247653,0.009926788249778185,0.0022349758713307976
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Gram,ses-7,60,-0.0011550367756260366,0.005285264644589432,-0.0011158910680808525
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Gram,ses-7,60,0.005049384027219367,0.014528110872030688,0.0031407191652853762
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Gram,ses-7,60,0.01011797049985236,0.016157077561898225,0.006518413480117402
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Gram,ses-7,60,0.0009587167386706074,0.009454675154049444,0.00027274498344048313
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Gram,ses-7,60,0.008285238990836457,0.019202923324048556,0.005672712407341758
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Gram,ses-7,60,0.007339094135484772,0.01714002214806412,0.004583009967647463
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Gram,ses-7,60,0.009439426387995728,0.01926468415165846,0.006678100238572017
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Gram,ses-9,60,-0.0011986894187638775,0.010148990034127487,-0.0009268219460705881
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Gram,ses-9,60,-0.0011986894187638775,0.010148990034127487,-0.0009268219460705881
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Gram,ses-9,60,-0.0020066658248262086,0.00984587358828391,-0.0014723119129515542
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Gram,ses-9,60,-0.003937068283444692,0.009651221232292832,-0.002783020826347038
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Gram,ses-9,60,-0.008111903026990636,0.00569250615242084,-0.00543126602855838
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Gram,ses-9,60,-0.009081287309997353,0.01232499164348666,-0.006305071970822035
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Gram,ses-9,60,0.0005300283934237311,0.014153670065519706,-5.557099194220617e-05
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Gram,ses-9,60,-0.009460828561336657,0.007819986940948518,-0.006497973575035211
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Gram,ses-9,60,0.002075263144617326,0.017575563214953027,0.0016434961180149018
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Gram,ses-9,60,-0.005481712256749302,0.015037579742432139,-0.003968535321114103
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Gram,ses-9,60,-0.004537276978439004,0.01710623906131055,-0.0024866422026552713
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Phon,ses-5,72,-0.004456217485561711,0.00010358761358740531,-0.003126827938712947
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Phon,ses-5,72,-0.004456217485561711,0.00010358761358740531,-0.003126827938712947
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Phon,ses-5,72,-0.006347707070196306,-0.0002977090514184439,-0.004468822064808945
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Phon,ses-5,72,-0.019031467364428577,-0.009249938304975716,-0.012463824040131197
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Phon,ses-5,72,-0.003579350538706171,0.003057318218719186,-0.002421224454795746
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Phon,ses-5,72,-0.010113197206105182,-0.014877065831965436,-0.006747945817982476
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Phon,ses-5,72,-0.005480061443802596,-0.010573987212590376,-0.004199320734146124
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Phon,ses-5,72,-0.004138487230808469,-0.007501669312438661,-0.0028548765959531923
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Phon,ses-5,72,-0.009119432488089578,-0.013398032250881518,-0.00598354204373884
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Phon,ses-5,72,-0.007483971802521412,-0.014732934249292687,-0.004880424097093979
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Phon,ses-5,72,-0.010582884502698918,-0.011143226327367185,-0.007038884754493475
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Phon,ses-7,72,0.0039964090459184715,0.0009421592610590534,0.002499012338873423
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Phon,ses-7,72,0.0039964090459184715,0.0009421592610590534,0.002499012338873423
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Phon,ses-7,72,0.002064165134130563,0.0005548132163852096,0.001121493037371872
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Phon,ses-7,72,-0.01301534265101343,-0.008614857990188782,-0.008807793488480348
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Phon,ses-7,72,-0.0012195476572224627,0.0033497177935336558,-0.001038805129100325
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Phon,ses-7,72,-0.009883572529118635,-0.014334167169750268,-0.00640433162138738
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Phon,ses-7,72,-0.00597304421619209,-0.010495012149780176,-0.004266083563787596
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Phon,ses-7,72,-0.004701633817562966,-0.007500968352683265,-0.003226665931663037
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Phon,ses-7,72,-0.006445264645160201,-0.01250864407001491,-0.0041245953651896155
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Phon,ses-7,72,-0.004939164742034008,-0.014126790644492052,-0.003264028616141292
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Phon,ses-7,72,-0.00970856793507647,-0.01110099005485093,-0.006520094692967547
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Phon,ses-9,72,0.007087845232841234,0.0012753926179214867,0.004576622597074072
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Phon,ses-9,72,0.007087845232841234,0.0012753926179214867,0.004576622597074072
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Phon,ses-9,72,0.0049323062412167,0.0008030695752953548,0.0030447525334656336
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Phon,ses-9,72,-0.009112436012402518,-0.00855550561498656,-0.005948629371357521
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Phon,ses-9,72,-0.0010408881663700692,0.0037007984807954286,-0.0007080534960141365
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Phon,ses-9,72,-0.006531216521444343,-0.01370402409509773,-0.004247095970036352
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Phon,ses-9,72,-0.00479991504197395,-0.01032270390632584,-0.0032628036100928247
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Phon,ses-9,72,-0.004411943361991469,-0.007696992424452912,-0.003040465012295998
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Phon,ses-9,72,-0.005548438771051942,-0.012670429096559866,-0.0036382679639480717
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Phon,ses-9,72,-0.0015865981789595213,-0.01398833040086939,-0.00115946822487436
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Phon,ses-9,72,-0.0044071185532647906,-0.011117415739230158,-0.003019027406447819
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Plaus,ses-5,60,0.03420120859414551,0.025164384930814496,0.022865227569599474
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Plaus,ses-5,60,0.03420120859414551,0.025164384930814496,0.022865227569599474
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Plaus,ses-5,60,0.03261754731190894,0.024650276525520817,0.021776802623972816
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Plaus,ses-5,60,0.03125661794990648,0.02392046381907281,0.020831457013921494
