dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-5,60,0.014132654662986887,0.015205860907893788,0.009664881368707143
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-5,60,0.014132654662986887,0.015205860907893788,0.009664881368707143
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-5,60,0.012900047452124013,0.014996506144528549,0.008874112540839888
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-5,60,0.017754278932025712,0.014982508614654964,0.012038465346376547
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-5,60,0.002883429984577938,0.005427924294732706,0.0016486060942854496
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-5,60,0.01364318111582157,0.018677524639864964,0.008810237837458042
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-5,60,0.011323321859023723,0.01653110848442784,0.0073385646715403065
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-5,60,0.025560268295610828,0.02252941489563423,0.017038577127107466
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-5,60,0.02255271111570942,0.01697148167877585,0.01439671939523431
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-5,60,0.013216262940220078,0.015394507662171542,0.008733588193399826
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-5,60,0.011843015967433337,0.014885749979476292,0.007790797571483777
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-7,60,0.015918664946276733,0.017992668676085507,0.010667714211802128
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-7,60,0.015918664946276733,0.017992668676085507,0.010667714211802128
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-7,60,0.012853596729094382,0.017783543567893537,0.00858667637562158
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-7,60,0.012091090744289847,0.01769109529332394,0.00799264163417041
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-7,60,0.008928935863329185,0.007370865954113525,0.005502805696346048
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-7,60,0.012938359290023693,0.02142557999378637,0.008451262004452067
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-7,60,0.007509781336927226,0.018678475466456776,0.0051067825353786015
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-7,60,0.022359223782990923,0.02459672478365848,0.01484511981297487
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-7,60,0.01999917648159101,0.018218204343898203,0.013025968260659888
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-7,60,0.013515304753125687,0.01679476134120482,0.008563681482404117
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-7,60,0.015047245919806308,0.016761345403898956,0.009935710111046173
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-9,60,-0.0020501691504756247,0.0173147340299774,-0.0019283772950979359
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-9,60,-0.0020501691504756247,0.0173147340299774,-0.0019283772950979359
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-9,60,-0.003180385680688739,0.017150639482529952,-0.0026220565738247856
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-9,60,0.006209609044562782,0.017286697597659734,0.00354185230252337
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-9,60,-0.0028122380029227383,0.006654475605960402,-0.001944984717977216
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-9,60,0.0005564034883356884,0.019483819830977033,-1.852366398073539e-05
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-9,60,-0.0010402895318037083,0.016675906899092974,-0.0007671351876159725
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-9,60,0.009008076296216057,0.022181617965173508,0.006370224168271519
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-9,60,0.002654076158335421,0.015675197929929146,0.001528521651927579
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-9,60,-0.0016347202892024399,0.014314749469219023,-0.0010200790130080832
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-9,60,0.0008459560666508042,0.01443297422936927,0.000610003417296631
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Phon,ses-5,72,-0.0479200160829832,-0.039738543745114,-0.03197204536197397
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Phon,ses-5,72,-0.0479200160829832,-0.039738543745114,-0.03197204536197397
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Phon,ses-5,72,-0.04819679654618431,-0.03873307116583624,-0.03228258439526045
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Phon,ses-5,72,-0.03351940430241072,-0.027013003742629486,-0.022514386164781686
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Phon,ses-5,72,-0.02603842986021087,-0.02321912866296056,-0.017134159599913025
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Phon,ses-5,72,-0.010929473063803952,-0.015634537984362706,-0.007098910050868375
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Phon,ses-5,72,-0.011616342866056607,-0.017041872467863727,-0.007732238177926003
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Phon,ses-5,72,-0.0035595195256556203,-0.01599491340176429,-0.0027489135727607654
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Phon,ses-5,72,-0.0014890053916590765,-0.010874467709933281,-0.0009475421784895062
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Phon,ses-5,72,-0.0032682186446512237,-0.012201612632089269,-0.002140698069696719
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Phon,ses-5,72,-0.006289257465997162,-0.010866027059650608,-0.004111732801680708
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Phon,ses-7,72,-0.04486031770919921,-0.03963436419149663,-0.03003837331446824
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Phon,ses-7,72,-0.04486031770919921,-0.03963436419149663,-0.03003837331446824
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Phon,ses-7,72,-0.044519244549788735,-0.03855959657190904,-0.0299667104606329
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Phon,ses-7,72,-0.028283366506767802,-0.0271254994038568,-0.01901638139338313
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Phon,ses-7,72,-0.031841126134214956,-0.0239368431046233,-0.02086001549632651
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Phon,ses-7,72,-0.01161892199005423,-0.014933593647177858,-0.0075147996043230456
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Phon,ses-7,72,-0.007847968193026958,-0.01696605334240968,-0.005306113698936387
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Phon,ses-7,72,-0.001998133379667019,-0.015647616706152376,-0.0017021459043454026
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Phon,ses-7,72,-0.00021040233432495942,-0.010257378417153476,-0.0008158540282792645
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Phon,ses-7,72,0.0009561665660078908,-0.01212968833723978,0.0005132775343078255
