dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Gram,ses-5,60,0.02725205058761815,0.01996491000595492,0.018284133843053465
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Gram,ses-5,60,0.02725205058761815,0.01996491000595492,0.018284133843053465
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Gram,ses-5,60,0.02675494020832744,0.019948754576487784,0.017889388176153657
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Gram,ses-5,60,0.02612947088953043,0.02173534808537089,0.017380945537234162
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Gram,ses-5,60,0.012726979826953042,0.010650505132404722,0.00864927358493579
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Gram,ses-5,60,0.01288237821599371,0.014987857739930062,0.00827113534091526
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Gram,ses-5,60,0.0136357541937886,0.014187859148008596,0.008517691695969188
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Gram,ses-5,60,0.006879254699717906,0.01413096323171411,0.004649439659164583
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Gram,ses-5,60,0.011675129009904247,0.012826949143257316,0.007256805051211543
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Gram,ses-5,60,0.01686846916210562,0.018590737232020198,0.010712426504169422
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Gram,ses-5,60,0.01821935529999531,0.021017244595195193,0.011720369323534955
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Gram,ses-7,60,0.03671262054837703,0.02326915699064858,0.02456557217362422
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Gram,ses-7,60,0.03671262054837703,0.02326915699064858,0.02456557217362422
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Gram,ses-7,60,0.03574596509657182,0.02324724747505623,0.023874447883032644
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Gram,ses-7,60,0.031870029340507776,0.02498485874849981,0.021217260222347843
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Gram,ses-7,60,0.01612340086312325,0.013500318924790596,0.010559127216052991
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Gram,ses-7,60,0.01091399934281911,0.01753107004338727,0.007332177201202121
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Gram,ses-7,60,0.009368150009499244,0.015489722103953189,0.006066180580173931
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Gram,ses-7,60,0.0005793962175315818,0.01671987389819199,0.0003200122639430493
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Gram,ses-7,60,0.0009006430557811023,0.013664686628912986,0.0006559932037315602
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Gram,ses-7,60,0.009821345899041978,0.02008295379245082,0.006607838064851986
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Gram,ses-7,60,0.015957669271079254,0.023013862473872566,0.010709871516034147
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Gram,ses-9,60,0.021251030500309725,0.022404596782407138,0.014383944454557939
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Gram,ses-9,60,0.021251030500309725,0.022404596782407138,0.014383944454557939
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Gram,ses-9,60,0.02083717003086993,0.022398374061145455,0.014017303657146143
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Gram,ses-9,60,0.020027503523960356,0.024318907050227934,0.013554850804661577
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Gram,ses-9,60,0.0024463647118282573,0.012884426208218603,0.0014838093595602865
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Gram,ses-9,60,0.0031055862750740517,0.015808840061330674,0.0021123364408376527
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Gram,ses-9,60,-0.004918268124231134,0.013555995483643574,-0.0030679020034300717
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Gram,ses-9,60,-0.013156226489765334,0.015033912075403739,-0.008520246684104461
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Gram,ses-9,60,-0.010957087176326822,0.011831501125871922,-0.007251695074940995
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Gram,ses-9,60,-0.005130796682756187,0.018182299054736818,-0.0033642806271218383
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Gram,ses-9,60,0.0008878536882942573,0.020957323542942267,0.00039282942579835396
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-5,72,-0.006535933537304027,-0.011817455782243708,-0.004545384942838154
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-5,72,-0.006535933537304027,-0.011817455782243708,-0.004545384942838154
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-5,72,-0.005793905406391127,-0.01172801576008527,-0.003961057057719222
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-5,72,-0.0056603802261875925,-0.012387987724741437,-0.0036597055697962506
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-5,72,-0.02549089455507364,-0.02635053519377198,-0.016855470723886698
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-5,72,-0.006653816535268418,-0.008567383853756348,-0.004331008884356367
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-5,72,-0.002236030081266731,-0.006038979899141006,-0.0015153324819541297
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-5,72,-0.011065859066697522,-0.023048214197200233,-0.0074621243442389495
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Phon,ses-5,72,-0.028142028499564504,-0.010985935378812003,-0.018959418612129398
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Phon,ses-5,72,-0.02217281883496097,-0.01685910461606987,-0.01495609884573805
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Phon,ses-5,72,-0.016518005032424975,-0.008348142544860698,-0.011119379901938264
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-7,72,-0.00732368309068135,-0.012493255637717993,-0.004925749320887271
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-7,72,-0.00732368309068135,-0.012493255637717993,-0.004925749320887271
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-7,72,-0.006885809780852395,-0.012342347794676396,-0.004663598026515255
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-7,72,-0.006814692358924046,-0.012465678590526722,-0.004544772439813921
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-7,72,-0.025666303013057477,-0.025468800384861864,-0.017184384847900185
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-7,72,-0.006142748275654574,-0.00782530870918294,-0.004205445764388462
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-7,72,0.0004788144779517254,-0.005277520203005084,7.656287802921027e-05
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-7,72,-0.012567055831613686,-0.02202422854083614,-0.00851501704289665
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Phon,ses-7,72,-0.031105899733209416,-0.01034735330319791,-0.02086124050237498
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Phon,ses-7,72,-0.021651660444377316,-0.016090815475759468,-0.014602684600755214
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Phon,ses-7,72,-0.01583666141115357,-0.007452508395203631,-0.010604264858557737
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-9,72,-0.004169738538807539,-0.011898187479381482,-0.002744013548566896
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-9,72,-0.004169738538807539,-0.011898187479381482,-0.002744013548566896
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-9,72,-0.003475208975426248,-0.01174803544947745,-0.002288311298537036
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-9,72,-0.001973435159362106,-0.011805889984059646,-0.0013805818166227194
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-9,72,-0.025845459788336272,-0.02553565997672167,-0.017151309684591567
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-9,72,-0.008186594454356657,-0.007852991213899029,-0.0054586269519705756
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-9,72,-0.0016178969158200695,-0.004954486686913525,-0.0010957679103540574
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-9,72,-0.01416674437634103,-0.021918761521233385,-0.009539122099415365
