dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-5,60,0.013430059615385959,0.015006063704660046,0.009102783978946897
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-5,60,0.013430059615385959,0.015006063704660046,0.009102783978946897
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-5,60,0.013387402422170952,0.014996511967670875,0.009127056366232
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-5,60,0.008946992459320765,0.011981409742454943,0.0065350209029966825
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-5,60,0.022650412361614,0.019605134456689214,0.01513511096632845
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-5,60,0.00673461366190856,0.017866892421087754,0.004755471666778448
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-5,60,0.01262843244861405,0.020201142723543664,0.008562403988336478
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-5,60,0.026180353528738244,0.027772193044986716,0.017384778019437074
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-5,60,0.023347175371080064,0.026289235693346735,0.015303740183256526
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-5,60,0.02588382847292015,0.02747050847877226,0.01713694417031551
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-5,60,0.020506146143160927,0.028372328081691787,0.013585510662284863
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-7,60,0.015100941787056916,0.018035912862351993,0.009995752332225107
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-7,60,0.015100941787056916,0.018035912862351993,0.009995752332225107
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-7,60,0.015145273932968167,0.01802546781206981,0.010071124482215687
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-7,60,0.0058729500446819075,0.014810598055043648,0.004331343636322989
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-7,60,0.017342675537084865,0.022087424620090106,0.011045852455822657
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-7,60,0.010445538445111875,0.02027449529931432,0.007069013423268916
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-7,60,0.01805411926889116,0.022476195635040195,0.012122779954840585
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-7,60,0.027279501201251083,0.030387539148184286,0.01801713758291735
