family,step,layer,per,gini,hoyer,norm,condition_number
babylm-gpt2-5,191,0,0.05568030180997052,0.23158804123197715,0.08917073912105267,20.71061147828665,182.46486437943773
babylm-gpt2-5,191,1,0.05404428913452081,0.2437596450602514,0.09401213671632248,32.5111238054659,231.56117528511726
babylm-gpt2-5,191,2,0.05232446506108353,0.2650367136423209,0.1095342574888442,42.70117972811107,274.27675125970836
babylm-gpt2-5,191,3,0.05006925297389462,0.2693421474208617,0.1125825084377294,52.30544636266506,316.21250663660413
babylm-gpt2-5,191,4,0.04646345422026805,0.2770133903982477,0.11981338436629081,62.198539332062005,357.1370101720825
babylm-gpt2-5,191,5,0.04559460655188457,0.27869271432630294,0.12173835408789452,71.51542326119308,385.4070494237852
babylm-gpt2-5,191,6,0.044830830426684995,0.2785976271538219,0.12112930290884447,79.38679134506414,408.51831137321506
babylm-gpt2-5,191,7,0.0424928444429984,0.2815645782387491,0.1224674843698299,87.15924014310482,443.4908938435295
babylm-gpt2-5,191,8,0.040922677552784885,0.2814714618111866,0.12296215321222682,95.10607024837003,477.3633585204285
babylm-gpt2-5,191,9,0.039740571950284916,0.2840056629377338,0.12382851678426884,102.39991486921295,500.39087478763406
babylm-gpt2-5,191,10,0.036973604226055584,0.2865884137470143,0.12462077515152746,112.1562962122854,546.843345904121
babylm-gpt2-5,191,11,0.03443700931511429,0.2889514787504237,0.1251892040526234,121.24343144169374,595.9546935867754
babylm-gpt2-5,382,0,0.06941792091462867,0.2437439407795449,0.1051068853141561,26.975597463849827,165.5541421524672
babylm-gpt2-5,382,1,0.0600056492375622,0.31005983906896084,0.15187455372852346,46.106171303489766,195.32336618788662
babylm-gpt2-5,382,2,0.05750803536155906,0.3597007199088221,0.18794340583172128,65.87099455605815,210.32258700600343
babylm-gpt2-5,382,3,0.0539444201054493,0.367664734058353,0.19133696719653473,79.52736558216942,229.52000092185685
babylm-gpt2-5,382,4,0.05332467502132979,0.36563939332983303,0.18955161830754821,86.74090734734202,245.49201278074386
babylm-gpt2-5,382,5,0.052492762701008805,0.36270540879219654,0.1863548542452905,92.05620688790383,261.3997732767049
babylm-gpt2-5,382,6,0.05453529915379995,0.3457661024318283,0.17479117061934338,90.65364487644659,264.1492781785256
babylm-gpt2-5,382,7,0.05628339328307402,0.3110805987903946,0.15025193221790356,83.66400683119785,270.9833969432165
babylm-gpt2-5,382,8,0.059086674975330884,0.28390841451498333,0.12953865437698017,77.87931979510228,272.55049815189915
babylm-gpt2-5,382,9,0.05708634128649315,0.2555421775924227,0.10775946471460437,75.8880872366225,287.51871947453645
babylm-gpt2-5,382,10,0.0551425676162625,0.23887211261933405,0.09604438006699006,79.35275202044095,302.92157709854666
babylm-gpt2-5,382,11,0.051467735744114965,0.2337325405235431,0.09204802614912419,86.38460061348223,329.4665460949429
babylm-gpt2-5,573,0,0.08126071830525931,0.24382626099294638,0.11255943424750377,27.199384232401794,134.96569359374777
babylm-gpt2-5,573,1,0.06574773867940122,0.3057207819110415,0.16205356340112848,43.146119571598156,156.8965007430126
babylm-gpt2-5,573,2,0.06019172168986626,0.35441497323639065,0.19543590449093579,58.05837083883766,162.23616780822437
babylm-gpt2-5,573,3,0.05811900046645559,0.35619766730037017,0.1939944945895887,67.62630771421581,173.0859860415668
babylm-gpt2-5,573,4,0.05574242959900122,0.35035380463848936,0.18978628652718374,73.13382240104107,175.98029472969856
babylm-gpt2-5,573,5,0.056441799188243685,0.3386161012625554,0.17961487355561434,76.3915033022878,184.08072243722808
babylm-gpt2-5,573,6,0.0593690482455731,0.3162223123903713,0.16377199650080748,76.02182835961493,189.29851088162744
babylm-gpt2-5,573,7,0.0608124232637766,0.28365578632809746,0.13982758699265263,73.70601990889357,191.28218881692558
babylm-gpt2-5,573,8,0.062388099499998705,0.2545972026090573,0.11480619314199786,71.30612235909008,198.30541349635047
babylm-gpt2-5,573,9,0.06266890161468089,0.2297261164698985,0.09314228448528372,72.72705494006117,199.4913107202308
babylm-gpt2-5,573,10,0.062082164696623705,0.21383882376583507,0.08087730817086479,78.1470861954224,203.74101072716834
babylm-gpt2-5,573,11,0.06021489732488367,0.21122377916844823,0.07742360306431884,85.5442013928344,219.3735589593436
babylm-gpt2-5,764,0,0.09625236461692324,0.2426448132395039,0.12000315607465953,26.906282025084522,121.25918926978248
babylm-gpt2-5,764,1,0.06962531893422412,0.3063243877815913,0.17577087364976832,41.494445181197115,142.46002005786715
babylm-gpt2-5,764,2,0.06300251727105505,0.34555306889050513,0.20509754213762577,53.045391798674814,145.12177159243342
babylm-gpt2-5,764,3,0.06059451426547029,0.347776949234667,0.2011509475662238,60.866632980460025,155.34254148104498
babylm-gpt2-5,764,4,0.05914299853016287,0.3377597709777236,0.19007333012907415,66.50142144566249,162.9042546343194
babylm-gpt2-5,764,5,0.06037395635274101,0.3220429625136341,0.1742549148746873,70.31942211086506,163.46388640542355
babylm-gpt2-5,764,6,0.06307120522971763,0.29882564206037915,0.15474936574293321,70.73804374830767,167.46967934140122
babylm-gpt2-5,764,7,0.06568305273813563,0.27252405876121655,0.13263933337268102,70.22002441026247,165.1435765776477
babylm-gpt2-5,764,8,0.06688810828432902,0.24781415855389177,0.11016597988568652,68.89963122734184,165.70867464746473
babylm-gpt2-5,764,9,0.06931086355873704,0.22577719203751423,0.09020792220862459,70.42545654877901,166.70163075270492
babylm-gpt2-5,764,10,0.06991833466518182,0.2056380528306554,0.07458623918595078,75.62513914435164,173.87735351020322
babylm-gpt2-5,764,11,0.06794716869066884,0.20325771559497538,0.07201702383038026,82.81821216480743,186.3501271071983
babylm-gpt2-5,1146,0,0.11821825039428834,0.23696473761680595,0.13248490242716787,23.96606159827635,99.66155245606105
babylm-gpt2-5,1146,1,0.07584588918327939,0.30928322705537276,0.19287006881920818,38.79794426557787,125.75320384066275
babylm-gpt2-5,1146,2,0.06195514440200392,0.33827437833936375,0.2142574307083937,48.48227471364519,137.74469927021497
babylm-gpt2-5,1146,3,0.05813510062404658,0.33300507280466096,0.20450221257305987,54.69414084187486,144.84735715410235
babylm-gpt2-5,1146,4,0.055920598973989266,0.3225972849420827,0.19098388341195519,59.944465800843425,150.50697532879798
babylm-gpt2-5,1146,5,0.05813536001361851,0.31004191115343166,0.1755027074713638,63.80438774252236,151.09719327812365
babylm-gpt2-5,1146,6,0.06077686722112819,0.29070984228744284,0.1581897282266217,65.8041978855275,147.2351774856197
