family,step,layer,per,gini,hoyer,norm,condition_number
pythia-2.8b-full,28000,0,0.26145783702214226,0.17628608369908302,0.6070655883483761,36.840450680949836,31.68064109962766
pythia-2.8b-full,28000,1,0.11139432844884749,0.18752248251453665,0.6298917713893406,48.973751943241474,48.01889864779126
pythia-2.8b-full,28000,2,0.0070797056952196956,0.312182931780377,0.835683325818866,126.96943341682254,238.16821204008994
pythia-2.8b-full,28000,3,0.006848173099252996,0.3359114093325698,0.8391435917127562,146.8492458125271,233.33908235119753
pythia-2.8b-full,28000,4,0.006136254915950084,0.4116382845708982,0.8804806500129045,236.38641687020038,350.5370672005973
pythia-2.8b-full,28000,5,0.006056656929925583,0.42178840080543906,0.8893983240621915,273.0197859409566,380.468296588466
pythia-2.8b-full,28000,6,0.0060430631804497805,0.42527625766905014,0.8933781484279192,290.8242903694146,380.88887304944717
pythia-2.8b-full,28000,7,0.0060341377828962844,0.4244510039963673,0.8955707512434814,302.6453325142982,381.839138239195
pythia-2.8b-full,28000,8,0.006041444574493616,0.42278693535458584,0.8964651165800961,312.6451514066567,385.24267093360146
pythia-2.8b-full,28000,9,0.006053976148024095,0.42060839768623703,0.896024112874325,320.151939126246,383.82667825933225
pythia-2.8b-full,28000,10,0.006058852377194735,0.419216918964666,0.8959142948555971,322.32744284041013,387.1818017611748
pythia-2.8b-full,28000,11,0.0060724450395687225,0.41708807244187157,0.8965641134062586,322.43136838651156,372.9856628628189
pythia-2.8b-full,28000,12,0.006111347013920074,0.4102710899663101,0.8944435058430786,325.99521299537435,355.49891381946907
pythia-2.8b-full,28000,13,0.006164488678432156,0.40304481457952424,0.8936068544123041,327.9293970224744,331.44496422896884
pythia-2.8b-full,28000,14,0.0062064966546625825,0.39656035809179285,0.8923235777448065,330.3000346504336,317.13421371060195
pythia-2.8b-full,28000,15,0.006256970411814366,0.3927358234712968,0.8908926028070675,333.76909412441523,308.54461334918216
pythia-2.8b-full,28000,16,0.006315542410706807,0.39087837922164964,0.8878712952121172,336.24306240253105,286.6399826271611
pythia-2.8b-full,28000,17,0.006408722887718085,0.386996530165353,0.882891570271491,338.02744433127015,254.56444785061524
pythia-2.8b-full,28000,18,0.006526341448478721,0.3888693049768438,0.8779197636805351,343.7890820539034,239.7205503206633
pythia-2.8b-full,28000,19,0.006647553272659176,0.39616633879362073,0.872800991304971,348.324126293697,225.58090650783086
pythia-2.8b-full,28000,20,0.006850377899859222,0.4058942926538065,0.8659557912094595,352.54292088700817,206.3497238802986
pythia-2.8b-full,28000,21,0.007078521817906536,0.4178217272224229,0.8610475400130964,363.36723337675306,191.15518167176728
pythia-2.8b-full,28000,22,0.00732730372581685,0.42419943250945497,0.8588118515680291,390.10747389944385,179.73992527383254
pythia-2.8b-full,28000,23,0.007492523633712795,0.42546549245835363,0.8581304292548969,406.3389688728667,171.8591190794719
pythia-2.8b-full,28000,24,0.007682897435954256,0.424937411917378,0.8560880657505038,419.45197263926735,164.5580192283278
pythia-2.8b-full,28000,25,0.00789820937855076,0.4202056718698424,0.8531943717380479,424.73372140620575,158.6408313110535
pythia-2.8b-full,28000,26,0.008092780739436525,0.41553295029234566,0.8532497312511099,424.419007522663,151.65229310347635
