dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-5,60,0.029307957641290284,0.0358534861795132,0.01920520706581969
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-5,60,0.02869322403350888,0.03164977786385241,0.01885517369128717
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-5,60,0.017097851120628567,0.024697649607443764,0.011412493253234455
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-5,60,0.022797037807204303,0.03095436362611216,0.015450652001034772
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-5,60,0.03172956270030962,0.0355517045210602,0.0213092397952177
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-5,60,0.03906975291272029,0.04076100923453033,0.026283801694595883
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-5,60,0.036260567262223986,0.03854676509156549,0.02425386362112081
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-5,60,0.03871597866623139,0.03777591108307064,0.025863506146343335
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-5,60,0.03887348697630415,0.03820188536178185,0.026149664817494006
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-7,60,0.007574559158644861,0.03984945645253639,0.004639219706623488
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-7,60,0.006944441521512531,0.03297318141545068,0.004138442032109813
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-7,60,-0.007191280642051784,0.026543701230245423,-0.0050109704803058324
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-7,60,-0.004041886996297538,0.03279920383119619,-0.002676988818733173
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-7,60,0.007201717718090542,0.03786866031614593,0.004643052188826398
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-7,60,0.012526877080290846,0.04337483704390017,0.008286465269726904
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-7,60,0.012011920015100977,0.04142209805086295,0.0077895200774161415
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-7,60,0.01421857930350003,0.040330778957811037,0.009253528278928055
