dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-5,60,0.026533188589865173,0.029622349713900376,0.017844675883786364
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-5,60,0.039483371011744095,0.03702385145149659,0.02666960490302223
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-5,60,0.0370185677541169,0.03612939101641935,0.024837678410030883
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-5,60,0.029713155532379854,0.031955296431885875,0.020034300715716054
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-5,60,0.034099618601477144,0.03471750887261695,0.02292910227298132
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-5,60,0.03528029795071324,0.034275441379461015,0.023848898001679903
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-5,60,0.03502708795066784,0.035224637166852785,0.023486089686471017
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-5,60,0.0371216206253675,0.03534651593726944,0.024529802339730386
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-5,60,0.03683062248064271,0.03538917068092179,0.02440844040330488
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-7,60,0.011981959136445246,0.03270864185598393,0.00801052655111733
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-7,60,0.0209349102291628,0.03926774343418306,0.01396364890630539
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-7,60,0.007996880952428741,0.037871600809922495,0.005340563949756158
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-7,60,0.013256260550923863,0.03432039195531312,0.008955872161168651
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-7,60,0.014276627018130678,0.03739920003211461,0.009461759811952873
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-7,60,0.01759259189629862,0.03704637054250527,0.01216238227093733
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-7,60,0.01478819738956134,0.038198763338043236,0.009896107794949429
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-7,60,0.01723020051591248,0.03841518159205806,0.011266858929523846
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-7,60,0.016893441971039324,0.0384500187866131,0.011025412550740467
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-9,60,0.008155692003487473,0.03149571085650945,0.005668879925138847
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-9,60,0.01429489136019311,0.03752585833600806,0.009787520799200288
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-9,60,0.008115071154571135,0.03640216394412936,0.005771079450549802
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-9,60,0.009589535908315948,0.03290880426238654,0.006808404633470983
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-9,60,0.010284435695209053,0.03588014096331161,0.0071584380080035
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-9,60,0.011889287076672547,0.03548594076060134,0.008223868060412694
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-9,60,0.012941488465215907,0.036778168101427935,0.008862615094231157
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-9,60,0.013941008912625636,0.036894811928814206,0.009446429883141231
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-9,60,0.013680313561964846,0.03692627405586721,0.009233088373845864
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-5,72,-0.0005051957042199805,-0.0033519268292829044,-0.00021253854940908769
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-5,72,-0.008489900586267796,-0.010515144366480614,-0.005629515295731772
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-5,72,-0.010022820791940468,-0.018213046583708238,-0.007015609639572595
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-5,72,-0.007169345263718501,-0.019479896581672915,-0.005039062380370503
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-5,72,-0.008884606445960987,-0.019567035236826198,-0.006020292225192862
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-5,72,-0.008894054131443506,-0.01909499668166375,-0.0060760300003981265
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-5,72,-0.005664652416816146,-0.01568418224823257,-0.004028432390384927
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-5,72,-0.006666433331040579,-0.017244694881571578,-0.0046164352936492615
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-5,72,-0.005767410638302972,-0.016781475009799665,-0.0038820441675930773
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-7,72,-0.0009395484990128922,-0.003911914296625978,-0.0005047024919685541
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-7,72,-0.008423607973066127,-0.010667556854528836,-0.0054427018733405
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-7,72,-0.007421078257725638,-0.01786012498316797,-0.005124812803763218
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-7,72,-0.005509056287785913,-0.01928557008470654,-0.0036737931393536253
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-7,72,-0.009402296780703865,-0.0189201365119616,-0.0061691304600816465
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-7,72,-0.010602606285644248,-0.018769424519187814,-0.007119122650668087
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-7,72,-0.006163261258243643,-0.014923933161552489,-0.003929819403483304
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-7,72,-0.007649423792690515,-0.016508019814724335,-0.0049183992845964674
