dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-5,60,0.024407448560084668,0.017501255270923447,0.016043409248418305
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-5,60,0.02358032272713721,0.01954080540569648,0.01586583757301677
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-5,60,0.018374686604367266,0.014622244694206128,0.012371891298029784
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-5,60,0.03143205950674126,0.023688302552243135,0.021466371565537042
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-5,60,0.03973699001186647,0.031369829717856776,0.026780746886906646
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-5,60,0.0013379809952487772,-0.014851445691071653,0.0007237003893163171
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-5,60,0.023961679592574902,0.01567507772420489,0.015901607406910604
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Gram,ses-5,60,0.02780627598824225,0.031189037489070877,0.019164327255655308
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.017655651484888575,0.020533257653960683,0.011827678825216455
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.027158201300110624,0.02705872636852878,0.01805546240494646
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.022581111734812188,0.01915285911406809,0.014894942081612707
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-7,60,0.008202915282218087,0.019802449692323407,0.005527078083631149
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-7,60,0.010271185391127504,0.020651488925123623,0.006818624586012078
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-7,60,0.0006738903834673817,0.014905708073951151,0.0005371862554413262
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-7,60,0.012183362460071843,0.02333777001184894,0.008778300485767119
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-7,60,0.016185133906489957,0.031149936505692033,0.010914270566856055
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-7,60,-0.014528542933276383,-0.01716879528711939,-0.009718536119547896
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-7,60,0.00874172852121083,0.015553081410184019,0.005671434913274122
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Gram,ses-7,60,0.00719358099698216,0.03258869166401152,0.004692874457464238
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Gram,ses-7,60,-0.0016221927683257315,0.02050706503210148,-0.0011005611392692096
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.011191301395018656,0.027720934561691918,0.007475256536777457
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.0064899904994583976,0.019572376004841782,0.004416935738854663
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-9,60,0.00558270497946395,0.019251331257312522,0.003959592862640644
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-9,60,0.004161981537422742,0.020529343622268256,0.002946540067004564
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-9,60,-0.002833739721255952,0.015268297359847393,-0.001712480797667296
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-9,60,0.007226281526947254,0.023967153252281333,0.005110615017581512
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-9,60,0.012220468937956263,0.032021666045212616,0.008843452683216601
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-9,60,-0.015521502067281694,-0.016272773920148195,-0.010333010766081256
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-9,60,0.0012665877595874396,0.0145830234306039,0.0005985059706878987
