dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-5,60,0.021999652122712293,0.01903745085981489,0.014690543030790803
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-5,60,0.0249955733586244,0.025529984414316566,0.016992587340672535
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-5,60,0.02867966427434263,0.024278210532916445,0.01950414067764673
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-5,60,0.009020950060544186,0.008360684843031908,0.0059959184064539
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-5,60,0.008665961797953736,0.015211296262814852,0.005533465553969334
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-5,60,0.03253402040729689,0.038644748575661365,0.02208595618834095
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-5,60,0.05216248376354903,0.053163670086702614,0.03514450054772558
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Gram,ses-5,60,0.039388424565299875,0.03376835293791072,0.026515028120838165
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.058798226525893685,0.05465757123083934,0.03896931778623053
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.05289987844203929,0.049816557018302815,0.035072960879937914
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.036336394578085074,0.03595913410467587,0.02409289936859856
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-7,60,0.009926625548489528,0.020898579731733966,0.007000028743616522
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-7,60,0.0166347981128282,0.028169854206762417,0.011545352636268696
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-7,60,0.020438094156805794,0.02696815876149069,0.014120780676624733
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-7,60,0.0074740468487190575,0.00805652993422258,0.005203872084519008
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-7,60,-0.0052840094100097615,0.017662386063871882,-0.003194373916126127
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-7,60,0.013565652879005375,0.041834440492007054,0.009009526912009402
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-7,60,0.022237681511434466,0.055882370845017494,0.014924324445168358
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,640,335544320,Gram,ses-7,60,0.018475012808437927,0.03568528301015268,0.012368058815826874
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,1100,576716800,Gram,ses-7,60,0.034084485598628506,0.058163692161217126,0.022515194195066958
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.027559112264467285,0.05285345119257269,0.01800819512444389
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.021410239731337592,0.03882439111956276,0.01427918994101171
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,10,5242880,Gram,ses-9,60,0.006498936564634475,0.02164038986232177,0.004796351476942829
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,20,10485760,Gram,ses-9,60,0.00811451716504886,0.028315484867090537,0.005762136992076343
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,30,15728640,Gram,ses-9,60,0.012783043133802737,0.02669478888837392,0.00844998451038443
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,50,26214400,Gram,ses-9,60,0.00023924232281292987,0.008710703263225733,4.151855719820001e-05
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,70,36700160,Gram,ses-9,60,-0.00024311375740412544,0.018003257668636852,-0.00017821042243535082
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,100,52428800,Gram,ses-9,60,0.011300932891846244,0.04139588816426668,0.007784410101145593
ds003604,parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,300,157286400,Gram,ses-9,60,0.022808046184937904,0.0543662245870634,0.015252640420551048
