dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Gram,ses-5,60,0.02041434618408149,0.018187974171831836,0.01372348002158965
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Gram,ses-5,60,0.016913560879588427,0.011782882931599788,0.011277078882064943
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Gram,ses-5,60,0.01387568142942887,0.006619060043277426,0.009436209930600134
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Gram,ses-5,60,0.01552784048646426,0.025257781434607614,0.01036494811777218
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Gram,ses-5,60,0.024790735732764028,0.03175466304033921,0.01631040550855442
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Gram,ses-5,60,-0.004793852032027888,-0.011556084459168293,-0.0033706680974600225
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Gram,ses-5,60,0.04154476818814281,0.04286990448436355,0.028175770408766166
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Gram,ses-5,60,0.030523231039366418,0.03015902895600416,0.020609173046152666
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.024650046198344017,0.02272069367215014,0.01629379808567514
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.02185623592111235,0.022497156660967348,0.014528301284200911
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.026655449316583327,0.024146594584686237,0.01755212974229751
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Gram,ses-7,60,-0.0002791858329774285,0.019550625855087277,5.4293497874569246e-05
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Gram,ses-7,60,-0.0061461512760036885,0.012884856980772203,-0.0036287218991226814
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Gram,ses-7,60,-0.005704926753793818,0.007420463778171975,-0.0036529942864077826
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Gram,ses-7,60,0.015706805070417235,0.02604526419387741,0.010403272939801285
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Gram,ses-7,60,0.023876176936268177,0.03358821107214071,0.01584539766793458
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Gram,ses-7,60,-0.00680227396035927,-0.011395485324378946,-0.004599617390526742
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Gram,ses-7,60,0.02082328566846797,0.04371522336562914,0.013668547776681262
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Gram,ses-7,60,0.006158672304815683,0.032160657743218225,0.004078399810930878
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Gram,ses-7,60,0.006128793658979665,0.02490012571468056,0.004004305155007937
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.0031110504295417817,0.02500927346815241,0.002029299326441253
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Gram,ses-7,60,0.010533280863744974,0.026940129107825887,0.0069693688859932355
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Gram,ses-9,60,0.001789813551201543,0.019436794934912533,0.0013330650595791296
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Gram,ses-9,60,-0.0012163413427216092,0.013125926748232448,-0.00035961458003979394
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Gram,ses-9,60,-0.00016076840857004267,0.00773848972930468,0.0004311542478274617
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Gram,ses-9,60,0.016754871013737693,0.025509808965362656,0.010946207918546978
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Gram,ses-9,60,0.018521729706120843,0.033301335989347286,0.01232845649973013
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Gram,ses-9,60,-0.008737502187081926,-0.01074958746252937,-0.005965258548830614
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Gram,ses-9,60,0.018090347154017597,0.04251090104544088,0.012624835123421895
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Gram,ses-9,60,0.006130397198964055,0.030852174952198032,0.004089897257539611
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Gram,ses-9,60,0.0010970734578366718,0.023392658672393384,0.0007862975986305264
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Gram,ses-9,60,-0.0013328133117363262,0.023470957270882414,-0.0005857310300115294
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Gram,ses-9,60,0.0040713609700997085,0.025468470214577113,0.0025224120365491052
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Phon,ses-5,72,-0.013195663589255769,-0.0143552638791316,-0.008826168579207358
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Phon,ses-5,72,-0.007547905189174129,-0.009235853791819605,-0.004929424339032674
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Phon,ses-5,72,-0.007204070376511249,-0.01219572497590641,-0.0049490244358081515
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Phon,ses-5,72,-0.024181421776489614,-0.02108934435539605,-0.01571315258369088
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Phon,ses-5,72,-0.004628828359337482,-0.010146864249430797,-0.003214415871178364
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Phon,ses-5,72,-0.00599601128305307,0.00046124045143277476,-0.004206670770436929
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Phon,ses-5,72,-0.010215288549054869,-0.014540748739249295,-0.0066089076314814294
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Phon,ses-5,72,-0.023617639930438958,-0.017306197174948124,-0.015749290262120668
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.0198401855049128,-0.017120483933131717,-0.01304141439198356
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.005218522891994518,-0.0071737425287665395,-0.0035696676252338993
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.012963504342656623,-0.0071391109930450235,-0.008677330344318574
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Phon,ses-7,72,-0.01323825470686267,-0.014250820569935319,-0.008965206765708406
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Phon,ses-7,72,-0.006438785575234712,-0.009246434092399822,-0.004231783394430509
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Phon,ses-7,72,-0.0035779909113438126,-0.012303868462961689,-0.0025118749023823306
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,Phon,ses-7,72,-0.02523741316076385,-0.021206559582567664,-0.01676114525815471
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Phon,ses-7,72,-0.0062841042483357075,-0.009771226912356046,-0.004132557904504653
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Phon,ses-7,72,-0.0030553255764795765,0.0011822722335056816,-0.0021664231967145338
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Phon,ses-7,72,-0.013297666542054517,-0.013971195591187896,-0.008748380695129681
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Phon,ses-7,72,-0.02964979703627177,-0.01682870254031686,-0.020015373825908265
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Phon,ses-7,72,-0.02375654900503932,-0.0167691136431282,-0.01564271473590401
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Phon,ses-7,72,-0.004475577803093053,-0.006527193239239824,-0.0031782781927485763
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Phon,ses-7,72,-0.007242889462392454,-0.006644753654694757,-0.004759148498295711
