dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Gram,ses-5,60,0.009088396120859328,0.00847564125763698,0.0058426191183374694
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Gram,ses-5,60,0.009088396120859328,0.00847564125763698,0.0058426191183374694
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Gram,ses-5,60,0.008073199501186536,0.008206687442593806,0.005240919412480479
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Gram,ses-5,60,0.004967664080619412,0.007930896459191417,0.0034575376940593336
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Gram,ses-5,60,-0.005368817415392073,0.0038788467741828845,-0.0038280109736740413
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Gram,ses-5,60,0.013787590603322778,0.01496222868499272,0.009115558919623266
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,14000,29360128000,Gram,ses-5,60,0.016900369004089307,0.015034484314905307,0.010988365222778997
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,28000,58720256000,Gram,ses-5,60,0.0018990598521894282,0.0073876627282765325,0.0015157467112512097
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,51000,106954752000,Gram,ses-5,60,0.020658525722109522,0.01687294288693618,0.01377330229022749
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,86000,180355072000,Gram,ses-5,60,0.02000559064152858,0.016837591829054938,0.013010638331848248
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,143000,299892736000,Gram,ses-5,60,0.01857222282144581,0.018238882496060944,0.012364226333623964
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0,0,Gram,ses-7,60,-0.004609782521188031,0.010673101205244968,-0.003360448144918927
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,1,2097152,Gram,ses-7,60,-0.004609782521188031,0.010673101205244968,-0.003360448144918927
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,4,8388608,Gram,ses-7,60,-0.00540978017971669,0.010361832139045268,-0.003847173384688595
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,16,33554432,Gram,ses-7,60,-0.00918221511206486,0.009964897603550084,-0.0060521281454299245
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,256,536870912,Gram,ses-7,60,-0.01645962705868985,0.00569698729501982,-0.010769913737213083
ds003604,polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,5000,10485760000,Gram,ses-7,60,0.00017587111511669102,0.01440475964579333,-0.00040688186054236013
