dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-5,60,0.013133363601863724,0.014991191188046121,0.008602006304433224
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-5,60,0.013133363601863724,0.014991191188046121,0.008602006304433224
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-5,60,0.013057213846788499,0.014982331845518185,0.008593063845959766
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-5,60,0.005733703912650006,0.011826571135748944,0.004130777067703991
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-5,60,0.026436768444730845,0.020490619372804615,0.017421825347398546
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-5,60,0.01452605647249087,0.01930002425392522,0.009845008032243951
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-5,60,0.01754505483444015,0.021564026047784554,0.01189666350486885
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-5,60,0.02913006424801514,0.028466727224696693,0.01952841306493183
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-5,60,0.030668726865696456,0.027308670348509763,0.020482701133456613
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-5,60,0.030975927039926163,0.028951307277421703,0.020555518295311916
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-5,60,0.02373126539576241,0.029427774595587965,0.015795575399296737
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-7,60,-0.004467076118663496,0.01803309722844364,-0.002882665363622718
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-7,60,-0.004467076118663496,0.01803309722844364,-0.002882665363622718
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-7,60,-0.004455448830760481,0.018022830239295608,-0.0028864978458256287
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-7,60,-0.006757009121150752,0.014843883203374035,-0.004137164538042176
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-7,60,0.007461043243096647,0.02231306618289474,0.005101672559108054
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-7,60,-0.0030794578786212316,0.019954177040700717,-0.0021021164882965575
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-7,60,0.005709897511343274,0.022326120029434536,0.00387400076010897
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-7,60,0.012261247760447314,0.03018019264835724,0.008000306598576234
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-7,60,0.010604819088851594,0.028084598360635597,0.007168657960544596
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-7,60,0.012127863962852276,0.028616210422569788,0.007887887120624184
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-7,60,0.00860221837854722,0.030347204254206516,0.005361003854838349
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Gram,ses-9,60,0.005768367210180342,0.018398992917760516,0.0037666912584274686
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Gram,ses-9,60,0.005768367210180342,0.018398992917760516,0.0037666912584274686
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Gram,ses-9,60,0.005756374202631764,0.01838834139818771,0.003773078728765653
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Gram,ses-9,60,2.100723940415376e-05,0.015302083468153455,0.00031234729953722774
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Gram,ses-9,60,0.008355522083431679,0.022881273546153724,0.005309904092132872
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Gram,ses-9,60,-0.007353439434481438,0.018769930576375563,-0.004402883304110657
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Gram,ses-9,60,-0.005129961370429634,0.020766974310860477,-0.0030589595449566132
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Gram,ses-9,60,0.005044194703491202,0.02884136361872318,0.0033770555677982072
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Gram,ses-9,60,0.0024960506471071,0.026580737515007467,0.002021634362035431
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Gram,ses-9,60,0.0020967605349073966,0.026523901723534943,0.0011823207595979726
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Gram,ses-9,60,-0.001203538991105336,0.028312576005238305,-0.0010149690367375357
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-5,72,-0.03363123221572647,-0.033396517886502726,-0.022281022512548654
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-5,72,-0.03363123221572647,-0.033396517886502726,-0.022281022512548654
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-5,72,-0.03352509648440715,-0.03331942866811983,-0.022172609477259294
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-5,72,-0.01854128576934272,-0.021038250224697706,-0.012210247788098453
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Phon,ses-5,72,-0.036962963854849124,-0.03772328597897414,-0.024519108563098527
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Phon,ses-5,72,-4.6090792688658475e-05,-0.016221297110065164,-0.0001610882953734584
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Phon,ses-5,72,-0.01603762396480626,-0.01923585665123926,-0.010674090203320379
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Phon,ses-5,72,-0.016963429591896454,-0.006977392827022009,-0.011192880264846307
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Phon,ses-5,72,-0.011675102913712695,-0.013989782651564104,-0.007817988601318718
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Phon,ses-5,72,0.006591745809357371,-0.0027267293613060448,0.004411246780530978
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Phon,ses-5,72,-0.010009169903264274,-0.009924188111460265,-0.0067020080911649495
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-7,72,-0.02452835168167346,-0.033982366393082934,-0.016417531061559614
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-7,72,-0.02452835168167346,-0.033982366393082934,-0.016417531061559614
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-7,72,-0.024410401133512418,-0.033903549924865946,-0.016280942887155505
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-7,72,-0.013193557316634692,-0.021118656455134596,-0.008840868651788968
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Phon,ses-7,72,-0.038570141847975255,-0.03718161855174257,-0.025596501382725574
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Phon,ses-7,72,0.0004390734037481613,-0.01550437179884213,-1.1025054436206279e-05
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Phon,ses-7,72,-0.012188664063030569,-0.0186152710835855,-0.00827736586949398
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Phon,ses-7,72,-0.017762669146276288,-0.006902048805815951,-0.01182069586468583
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Phon,ses-7,72,-0.010328386262343814,-0.014119047486126383,-0.006988047003482079
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Phon,ses-7,72,0.008871034605387256,-0.002790809186504045,0.005957816916721026
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Phon,ses-7,72,-0.006298534120130715,-0.010139153461543482,-0.004424109344039886
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-9,72,-0.025472939137908792,-0.03356657673469582,-0.016751957712791206
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-9,72,-0.025472939137908792,-0.03356657673469582,-0.016751957712791206
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-9,72,-0.025356635664755427,-0.03349029311463933,-0.016643544677501846
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-9,72,-0.011993919001946131,-0.021084486434123483,-0.008066664829157594
