dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step28000,28000,58720256000,Gram,ses-5,60,0.021985962522251757,0.0250530213291228,0.014311127292702636
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step51000,51000,106954752000,Gram,ses-5,60,0.021985962522251757,0.0250530213291228,0.014311127292702636
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step86000,86000,180355072000,Gram,ses-5,60,0.02180502002258254,0.021501652459615547,0.014371169513881569
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step143000,143000,299892736000,Gram,ses-5,60,0.021985962522251757,0.0250530213291228,0.014311127292702636
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step28000,28000,58720256000,Gram,ses-7,60,0.01192088611965781,0.025568324252380262,0.007670713129125906
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step51000,51000,106954752000,Gram,ses-7,60,0.01192088611965781,0.025568324252380262,0.007670713129125906
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step86000,86000,180355072000,Gram,ses-7,60,0.00819341955556288,0.021751815420986028,0.005009692986238196
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step143000,143000,299892736000,Gram,ses-7,60,0.01192088611965781,0.025568324252380262,0.007670713129125906
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step28000,28000,58720256000,Gram,ses-9,60,-0.000987543670022936,0.0236290486905439,-0.0006674906503402925
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step51000,51000,106954752000,Gram,ses-9,60,-0.000987543670022936,0.0236290486905439,-0.0006674906503402925
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step86000,86000,180355072000,Gram,ses-9,60,-0.00042975196184920865,0.02031685468602379,-0.0006713231325432032
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step143000,143000,299892736000,Gram,ses-9,60,-0.000987543670022936,0.0236290486905439,-0.0006674906503402925
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step28000,28000,58720256000,Phon,ses-5,72,0.0027609626594334202,0.005497861273245648,0.0019391845747238374
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step51000,51000,106954752000,Phon,ses-5,72,0.0027609626594334202,0.005497861273245648,0.0019391845747238374
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step86000,86000,180355072000,Phon,ses-5,72,-0.0014038813645934514,-0.0043956948192973785,-0.0008409666522728456
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step143000,143000,299892736000,Phon,ses-5,72,0.0027609626594334202,0.005497861273245648,0.0019391845747238374
ds003604,pythia-2.8b-full,EleutherAI/pythia-2.8b@step28000,28000,58720256000,Phon,ses-7,72,0.00515470664025727,0.00583198525699603,0.0035286299226102427
