dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-5,60,0.010186617592139617,0.014588755966744908,0.006772634799577149
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1,1,2097152,Gram,ses-5,60,0.010186617592139617,0.014588755966744908,0.006772634799577149
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step4,4,8388608,Gram,ses-5,60,0.010135325952854811,0.01456924082222279,0.006791797210591704
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step16,16,33554432,Gram,ses-5,60,0.006653910805447153,0.013465229146180108,0.00447186798376305
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step256,256,536870912,Gram,ses-5,60,0.0054916494438050694,0.0053006589243765004,0.003426877836436047
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,10485760000,Gram,ses-5,60,0.03630067523802791,0.03128286363894405,0.02410056433300438
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,29360128000,Gram,ses-5,60,0.026131429329052526,0.024465036476999866,0.017600674516867712
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,58720256000,Gram,ses-5,60,0.01088091361701431,0.027118191759765355,0.007316847272390479
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,106954752000,Gram,ses-5,60,0.02106188635888499,0.015952948826474994,0.01383973198174461
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,180355072000,Gram,ses-5,60,0.03110043618505698,0.024081449046209336,0.020606618058017393
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-5,60,0.012035903866176562,0.019072075906341957,0.008011804045184966
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-7,60,0.008517609463149476,0.01771353443067753,0.005566680399727894
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1,1,2097152,Gram,ses-7,60,0.008517609463149476,0.01771353443067753,0.005566680399727894
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step4,4,8388608,Gram,ses-7,60,0.008535369588185775,0.017696866790912542,0.005534743048036971
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step16,16,33554432,Gram,ses-7,60,0.006752111940334723,0.016720076883135662,0.004206149217694571
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step256,256,536870912,Gram,ses-7,60,-0.0017702183358727136,0.006945082064319402,-0.0014710344188839173
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,10485760000,Gram,ses-7,60,0.015649716017342708,0.0341046054518189,0.010610226978758467
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,29360128000,Gram,ses-7,60,0.012443925805416776,0.026648458246116127,0.00823408801295379
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step28000,28000,58720256000,Gram,ses-7,60,-8.272080657671692e-05,0.030899799424054093,4.024106313056309e-05
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step51000,51000,106954752000,Gram,ses-7,60,0.0029259140560672346,0.017649738981613983,0.001879832520527733
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step86000,86000,180355072000,Gram,ses-7,60,0.006748439595728095,0.026085733307840944,0.004563847556632909
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-7,60,-0.001135928465150767,0.021920308331313212,-0.0008616697486211049
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-9,60,0.008063054568059917,0.018162767202930107,0.005491308249737315
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1,1,2097152,Gram,ses-9,60,0.008063054568059917,0.018162767202930107,0.005491308249737315
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step4,4,8388608,Gram,ses-9,60,0.008048077374764408,0.01814692542753597,0.005495140731940226
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step16,16,33554432,Gram,ses-9,60,0.005590861176766475,0.017210294204663336,0.003308070888145813
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step256,256,536870912,Gram,ses-9,60,-0.005211144639679886,0.007236667460903214,-0.004170379383800737
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step5000,5000,10485760000,Gram,ses-9,60,0.012006953585594662,0.03321161519505423,0.00798497666976459
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step14000,14000,29360128000,Gram,ses-9,60,0.005081158355951913,0.025761475438484647,0.003212258833073044
