family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,Gram,0.559220552444458,0.0023830419385110217,0.41174440860748956,0.9740136102014941,5.03931188583374,2.7916407585144043,0.46600872533053717,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,Gram,0.559220552444458,0.0023830419385110217,0.41174440860748956,0.9740136102014941,5.03931188583374,2.7916407585144043,0.46600872533053717,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,Gram,0.5606432557106018,0.0023819946773397816,0.4114105857436689,0.9740506596521382,5.080558776855469,2.79856276512146,0.4741245402636331,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,Gram,0.5692479610443115,0.0020491803278688526,0.42182161549294744,0.9727817309521752,4.0862274169921875,2.8705570697784424,0.484149742161488,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,Gram,0.5560438632965088,0.00581413225756059,0.4168376946346551,0.9733700647766482,4.411935806274414,2.8635811805725098,0.48741280747747656,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,Gram,0.5282848477363586,0.015755620216697037,0.4165993588431134,0.9734213047625205,4.39410924911499,3.0813639163970947,0.6369552091255246,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,Gram,0.5705673694610596,0.008610240921266471,0.41809833798864937,0.9731999953085679,4.863425254821777,3.052523612976074,0.5831359406235733,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,Gram,0.5365995168685913,0.009600121420932813,0.41827831098795715,0.9731994207374485,4.78023099899292,2.953678846359253,0.615600055738273,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,Gram,0.5376253724098206,0.00893355584387947,0.4197830690718785,0.9729848523484502,5.095710754394531,2.9866561889648438,0.5884317719955982,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,Gram,0.5082105398178101,0.019663058780695238,0.4148381442344898,0.9736234931123311,4.5897016525268555,2.996715784072876,0.5998693193344226,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,Gram,0.5048045516014099,0.01528856858544826,0.4144228166559563,0.9736841735071708,4.732316017150879,3.0211119651794434,0.616955248860177,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,Phon,0.54087895154953,0.004776884913738639,0.41778015983407246,0.973247254928251,4.488893508911133,2.6878955364227295,0.4886942371403218,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,Phon,0.54087895154953,0.004776884913738639,0.41778015983407246,0.973247254928251,4.488893508911133,2.6878955364227295,0.4886942371403218,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,Phon,0.5335467457771301,0.005122614829874784,0.418122660222994,0.9732053304704016,4.428047180175781,2.678985834121704,0.48349505720240865,24,491
pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,Phon,0.5268059968948364,0.0017017225684962441,0.4171890371066585,0.9733449230992967,4.125399589538574,2.640784978866577,0.464567692750741,24,491
