dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-5,72,-0.0026753693740868127,-0.004446065927290902,-0.002055560149328237
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-5,72,-0.00792375304609617,-0.012856094670360085,-0.005390026613256402
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-5,72,-0.010212335743118328,-0.016794038114301357,-0.006657295370395891
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-5,72,-0.005349045681542697,-0.00954574102099328,-0.0034986172744227925
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-5,72,-0.0030199393341025934,-0.0071277847676664546,-0.0020818977793702854
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-5,72,0.002293980245182134,-0.008302801900644667,0.0016647832198671481
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-5,72,0.00038086597419019805,-0.006908833979716521,0.00042936461998781115
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-5,72,0.00038110024402113294,-0.006677796658777982,0.0004403896744240174
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-5,72,-0.0008520206910132881,-0.007733405976095534,-0.00042630210486664275
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-7,72,-0.0031454389760488238,-0.004604681570182445,-0.002236248541477173
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-7,72,-0.008104832127503037,-0.012907862859742335,-0.005412689225153049
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-7,72,-0.010507875758272065,-0.016822600278210965,-0.0071283101960315925
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-7,72,-0.006732308426537423,-0.009576369036085209,-0.004515984797674938
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-7,72,-0.004667135069790904,-0.007391042767885056,-0.003050265060683737
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-7,72,-0.00079437450298281,-0.008693190609072511,-0.00026888882763858647
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-7,72,-0.003267096880215367,-0.007277446380130441,-0.0019330595444815007
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-7,72,-0.0031608979104140737,-0.006937856532208237,-0.0019477596170631092
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-7,72,-0.004146328083953655,-0.00798672766762916,-0.002680925737070827
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-9,72,-0.0016409976458361226,-0.003832852365949953,-0.0013113689748843133
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-9,72,-0.004077084102053673,-0.012268771904507033,-0.0028083263661114327
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-9,72,-0.00975239004722445,-0.01638296792507636,-0.006219355708068809
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-9,72,-0.004776024549552383,-0.009374810778031494,-0.0030570025939503074
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-9,72,0.0012915223917529745,-0.006761090754757979,0.0009236545605443926
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-9,72,0.003074520611614859,-0.008210076239599478,0.002184798287441544
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-9,72,0.0010277597137892417,-0.006857532415748831,0.0008624042581210243
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-9,72,0.0009187545363505232,-0.00655286882285556,0.0006272030968152904
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-9,72,0.000290419853971494,-0.0075741041449902125,0.00021743857360295715
