dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-5,72,-0.002394617103046506,-0.0037372107481704222,-0.001447344646264191
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-5,72,-0.00721214981120205,-0.010629320843314059,-0.004758535995271477
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-5,72,-0.011393690950326385,-0.018299203921982764,-0.007775113389622361
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-5,72,-0.007163032913427297,-0.019423354297376676,-0.005107662719084675
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-5,72,-0.007979849172699269,-0.019643298080001495,-0.005733640809851498
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-5,72,-0.00850779492080801,-0.019054545000773335,-0.0057844785608628935
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-5,72,-0.0033507736083868106,-0.015551835054938349,-0.0024861497753645156
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-5,72,-0.006470164078816837,-0.01718795840593252,-0.004342033938792573
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-5,72,-0.005506853720203657,-0.01669667599002636,-0.0036468430062873433
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-7,72,-0.0014289065565949147,-0.0039385022206080665,-0.0008832293609449696
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-7,72,-0.007438892825544277,-0.010585144035040897,-0.004880424097093979
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-7,72,-0.009373832277626162,-0.01781566289919974,-0.006426994233284026
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-7,72,-0.0065481687463270245,-0.01914012968169905,-0.004318146320847459
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-7,72,-0.00991419073367889,-0.018792490613649755,-0.00647905699034389
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-7,72,-0.011503516072173375,-0.018600043447115622,-0.007400874041815581
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-7,72,-0.005828852572489885,-0.014688412131470773,-0.0038060937925881006
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-7,72,-0.008675969040178285,-0.016319432434679246,-0.005673003010452363
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-7,72,-0.008162079481925636,-0.015789528039144754,-0.005206888209010532
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-9,72,-0.0013800210541746432,-0.0035704526365233523,-0.000897929433526578
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-9,72,-0.005969079594544029,-0.010557080640657995,-0.0037068683026622445
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-9,72,-0.011180985441743306,-0.017994925477885868,-0.007419249132542592
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-9,72,-0.00737139580670872,-0.019371088442974048,-0.004768948546683449
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-9,72,-0.012285245753238605,-0.018955768353437902,-0.008176915373519656
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-9,72,-0.011903149503126443,-0.018649821872587846,-0.007901901515638732
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-9,72,-0.0076173618823316466,-0.014924908150937253,-0.00519647565759856
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-9,72,-0.010342412988816264,-0.01648899822960912,-0.00699478453674865
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-9,72,-0.009833034921356894,-0.015951655218157324,-0.006517644680870612
