dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,5242880,Phon,ses-5,72,-0.010487733583145458,-0.008197058050223019,-0.007481111937990193
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,10485760,Phon,ses-5,72,0.0010638034926548916,-0.006146228093580352,0.00048816491031424464
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,15728640,Phon,ses-5,72,-0.017298579892575137,-0.016080673191986437,-0.011914408827393586
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,26214400,Phon,ses-5,72,-0.014244684368131023,-0.009501590073603343,-0.009588122341354059
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,36700160,Phon,ses-5,72,-0.015570380691816845,-0.006831829906486909,-0.010656940118641834
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,52428800,Phon,ses-5,72,0.0073121463794364756,-0.0007956933728825331,0.004960661993268591
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,157286400,Phon,ses-5,72,0.004425626588527761,0.008425138999075897,0.002755651106027336
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,335544320,Phon,ses-5,72,-0.022725960806420142,-0.01949757688774406,-0.015149649801395893
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.019593344869828992,-0.01961545596715159,-0.013072039543195245
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.005431444704930698,0.004220619920099587,-0.003547617516361487
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.0068182682076318125,0.0005637996585556634,-0.004585810142437578
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-10,10,5242880,Phon,ses-7,72,-0.00907264607209925,-0.00768547920804688,-0.006651170340153554
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-20,20,10485760,Phon,ses-7,72,-0.0005201918478762672,-0.0057601579342593055,-0.0005120525282593583
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-30,30,15728640,Phon,ses-7,72,-0.019300752630278,-0.015425294127120837,-0.013195152651066215
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-50,50,26214400,Phon,ses-7,72,-0.01572563044643447,-0.00816780987446179,-0.01035313861862193
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-70,70,36700160,Phon,ses-7,72,-0.012213803515471048,-0.006027422482155036,-0.008266340815057774
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-100,100,52428800,Phon,ses-7,72,0.0032788118090003385,-0.00041175334351107196,0.002159685663447963
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-300,300,157286400,Phon,ses-7,72,-2.942673407040874e-05,0.008051737724811624,6.370031452030294e-05
ds003604,parc-mamba-seed1,jmichaelov/parc-mamba-seed1@checkpoint-640,640,335544320,Phon,ses-7,72,-0.021013906102661184,-0.01933640274521359,-0.0138750310079656
